,valor
2003-01,34037.27272727273
2003-02,33482.35
2003-03,32436.1
2003-04,31540.7
2003-05,31117.571428571428
2003-06,30795.35
2003-07,30411.727272727272
2003-08,30299.75
2003-09,30465.545454545456
2003-10,30376.636363636364
2003-11,30507.21052631579
2003-12,30918.95238095238
2004-01,30577.47619047619
2004-02,30677.65
2004-03,31021.17391304348
2004-04,31409.315789473683
2004-05,32130.5
2004-06,33298.80952380953
2004-07,34205.380952380954
2004-08,35154.76190476191
2004-09,35887.22727272727
2004-10,36957.3
2004-11,37758.90909090909
2004-12,38909.63636363636
2005-01,39394.380952380954
2005-02,39892.5
2005-03,40593.0
2005-04,41729.47619047619
2005-05,42910.42857142857
2005-06,44295.42857142857
2005-07,45753.71428571428
2005-08,46889.454545454544
2005-09,48076.40909090909
2005-10,49129.0
2005-11,50882.181818181816
2005-12,52934.42857142857
2006-01,54358.27272727273
2006-02,55256.65
2006-03,56468.90909090909
2006-04,57888.27777777778
2006-05,59817.80952380953
2006-06,62229.0
2006-07,64128.42857142857
2006-08,65901.54545454546
2006-09,68061.09523809524
2006-10,70562.76190476191
2006-11,72866.28571428571
2006-12,74943.57894736843
2007-01,76420.90909090909
2007-02,77819.35
2007-03,79676.81818181818
2007-04,81753.33333333333
2007-05,83716.28571428571
2007-06,85989.05
2007-07,89350.85714285714
2007-08,92366.72727272728
2007-09,95623.15
2007-10,98809.68181818182
2007-11,102092.80952380953
2007-12,105220.16666666667
2008-01,108851.90909090909
2008-02,110296.71428571429
2008-03,111769.77777777778
2008-04,115134.95238095238
2008-05,118940.04761904762
2008-06,119702.1
2008-07,120883.40909090909
2008-08,122472.15
2008-09,125076.40909090909
2008-10,128597.86363636363
2008-11,129087.52631578948
2008-12,129724.0
2009-01,129501.23809523809
2009-02,130025.05
2009-03,131823.42857142858
2009-04,132331.0
2009-05,133634.57894736843
2009-06,135199.04761904763
2009-07,135486.2380952381
2009-08,134976.0
2009-09,135072.13636363635
2009-10,135996.7142857143
2009-11,137278.8
2009-12,140392.14285714287
2010-01,141900.75
2010-02,142484.45
2010-03,144772.63636363635
2010-04,149850.75
2010-05,154400.68421052632
2010-06,157978.04761904763
2010-07,161789.7619047619
2010-08,166014.85714285713
2010-09,170838.22727272726
2010-10,177778.57894736843
2010-11,183962.14285714287
2010-12,192360.15
2011-01,198614.42857142858
2011-02,203316.55
2011-03,208074.15789473685
2011-04,214076.42105263157
2011-05,221651.66666666666
2011-06,230088.85714285713
2011-07,241635.57142857142
2011-08,249599.31818181818
2011-09,261514.45454545456
2011-10,271339.95
2011-11,279005.38095238095
2011-12,285229.4210526316
2012-01,290099.1904761905
2012-02,293895.8888888889
2012-03,298695.4090909091
2012-04,302528.1176470588
2012-05,307934.2380952381
2012-06,315412.15
2012-07,323094.85714285716
2012-08,330364.63636363635
2012-09,338004.7368421053
2012-10,344639.6818181818
2012-11,355889.75
2012-12,369185.1052631579
2013-01,378932.04761904763
2013-02,385063.5294117647
2013-03,389379.4210526316
2013-04,397470.3
2013-05,407930.1818181818
2013-06,416470.8888888889
2013-07,427262.04545454547
2013-08,437148.85714285716
2013-09,448975.95238095237
2013-10,461043.5
2013-11,471480.0
2013-12,484657.94736842107
2014-01,500729.0
2014-02,509333.35
2014-03,508825.6666666667
2014-04,510124.63157894736
2014-05,515993.95
2014-06,522071.35
2014-07,527621.1363636364
2014-08,537182.65
2014-09,545090.7727272727
2014-10,560236.9545454546
2014-11,568496.5555555555
2014-12,582295.3157894737
2015-01,597164.0
2015-02,601729.4444444445
2015-03,614064.65
2015-04,628855.5
2015-05,642711.8947368421
2015-06,660514.0909090909
2015-07,680920.6363636364
2015-08,695427.6
2015-09,713436.1363636364
2015-10,739870.8095238095
2015-11,767093.1578947369
2015-12,795665.25
2016-01,809188.0
2016-02,813640.7368421053
2016-03,826385.7142857143
2016-04,834969.0
2016-05,855860.2380952381
2016-06,873059.9
2016-07,894221.2
2016-08,909132.6363636364
2016-09,937257.6363636364
2016-10,965824.85
2016-11,993809.9523809524
2016-12,1042857.0
2017-01,1070890.5454545454
2017-02,1089635.2222222222
2017-03,1111688.7727272727
2017-04,1135971.388888889
2017-05,1171244.2857142857
2017-06,1220850.142857143
2017-07,1282389.380952381
2017-08,1330757.0909090908
2017-09,1382058.619047619
2017-10,1441856.4761904762
2017-11,1503317.85
2017-12,1571235.7894736843
2018-01,1644824.5909090908
2018-02,1699603.1666666667
2018-03,1742377.8
2018-04,1790999.6315789474
2018-05,1895182.6666666667
2018-06,1969079.1
2018-07,2002493.8095238095
2018-08,2063586.5909090908
2018-09,2210836.9
2018-10,2160164.3636363638
2018-11,2138787.5263157897
2018-12,2151365.277777778
2019-01,2128173.0454545454
2019-02,2144527.1
2019-03,2189295.0
2019-04,2214740.0
2019-05,2255079.0
2019-06,2226737.611111111
2019-07,2235149.6666666665
2019-08,2419787.9523809524
2019-09,2439555.523809524
2019-10,2444357.3636363638
2019-11,2465038.736842105
2019-12,2473263.8947368423
2020-01,2453101.409090909
2020-02,2460176.388888889
2020-03,2499406.6842105263
2020-04,2618153.15
2020-05,2691892.4210526315
2020-06,2753524.714285714
2020-07,2793369.238095238
2020-08,2865220.05
2020-09,2919565.5454545454
2020-10,3003341.714285714
2020-11,3090777.1578947366
2020-12,3177611.222222222
2021-01,3255408.85
2021-02,3304566.5
2021-03,3361165.5
2021-04,3420960.6
2021-05,3484154.0
2021-06,3544232.904761905
2021-07,3635915.3333333335
2021-08,3734686.523809524
2021-09,3852699.6818181816
2021-10,4025387.0
2021-11,4258009.142857143
2021-12,4479330.9
2022-01,4570935.619047619
2022-02,4642198.52631579
2022-03,4855460.476190476
2022-04,5084735.315789473
2022-05,5305420.3
2022-06,5656133.65
2022-07,5976689.571428572
2022-08,6260268.409090909
2022-09,6438593.857142857
2022-10,6685490.315789473
2022-11,7036925.333333333
2022-12,7426444.2
2023-01,7659750.2727272725
2023-02,7955182.777777778
2023-03,8481039.227272727
2023-04,9284743.277777778
2023-05,10083112.75
2023-06,10721602.8
2023-07,11394331.42857143
2023-08,12471811.363636363
2023-09,13394963.285714285
2023-10,15077312.9
2023-11,16161680.2
2023-12,18008499.52631579
2024-01,18960537.636363637
2024-02,21100162.05263158
2024-03,22592292.210526317
2024-04,25070313.8
2024-05,28143847.90909091
2024-06,31796856.529411763
2024-07,36647804.81818182
2024-08,41457277.22727273
2024-09,46130618.952380955
2024-10,51328265.22727273
2024-11,56474774.368421055
2024-12,61454655.05263158
2025-01,67285623.77272727
2025-02,71925928.05
2025-03,76635165.83333333
2025-04,82255096.57894737
2025-05,87339322.4
2025-06,91817407.89473684
2025-07,97871556.4090909
2025-08,102523699.9
2025-09,105989466.22727273
2025-10,109987701.27272727
2025-11,111300200.35294117
2025-12,115069452.78947368
2026-01,118915741.33333333
2026-02,120267663.22222222
2026-03,122006885.4
2026-04,126018669.55
2026-05,129285969.0
2026-06,133692154.33333333
2026-07,138807795.19047618
2026-08,141991396.0
2026-09,143643724.0
