fecha,m2,cpi,ip,ff,credito,acciones,vivienda,salario
1919-01,,,4.8739,,,,,
1919-02,,,4.6585,,,,,
1919-03,,,4.5238,,,,,
1919-04,,,4.6046,,,,,
1919-05,,,4.6315,,,,,
1919-06,,,4.9277,,,,,
1919-07,,,5.2239,,,,,
1919-08,,,5.3047,,,,,
1919-09,,,5.197,,,,,
1919-10,,,5.1432,,,,,
1919-11,,,5.0624,,,,,
1919-12,,,5.1432,,,,,
1920-01,,,5.6279,,,,,
1920-02,,,5.6279,,,,,
1920-03,,,5.5201,,,,,
1920-04,,,5.2239,,,,,
1920-05,,,5.3586,,,,,
1920-06,,,5.4124,,,,,
1920-07,,,5.2778,,,,,
1920-08,,,5.3047,,,,,
1920-09,,,5.1162,,,,,
1920-10,,,4.9008,,,,,
1920-11,,,4.4969,,,,,
1920-12,,,4.2276,,,,,
1921-01,,,3.9853,,,,,
1921-02,,,3.9045,,,,,
1921-03,,,3.7968,,,,,
1921-04,,,3.7968,,,,,
1921-05,,,3.9045,,,,,
1921-06,,,3.8776,,,,,
1921-07,,,3.8506,,,,,
1921-08,,,3.9853,,,,,
1921-09,,,4.0122,,,,,
1921-10,,,4.2545,,,,,
1921-11,,,4.2007,,,,,
1921-12,,,4.1738,,,,,
1922-01,,,4.3353,,,,,
1922-02,,,4.5238,,,,,
1922-03,,,4.7662,,,,,
1922-04,,,4.6046,,,,,
1922-05,,,4.847,,,,,
1922-06,,,5.0893,,,,,
1922-07,,,5.0893,,,,,
1922-08,,,4.9816,,,,,
1922-09,,,5.2509,,,,,
1922-10,,,5.5471,,,,,
1922-11,,,5.7894,,,,,
1922-12,,,5.951,,,,,
1923-01,,,5.8163,,,,,
1923-02,,,5.8971,,,,,
1923-03,,,6.0856,,,,,
1923-04,,,6.2203,,,,,
1923-05,,,6.301,,,,,
1923-06,,,6.2472,,,,,
1923-07,,,6.1933,,,,,
1923-08,,,6.0856,,,,,
1923-09,,,5.951,,,,,
1923-10,,,5.9241,,,,,
1923-11,,,5.9241,,,,,
1923-12,,,5.7894,,,,,
1924-01,,,5.924,,,,,
1924-02,,,6.0318,,,,,
1924-03,,,5.9241,,,,,
1924-04,,,5.7356,,,,,
1924-05,,,5.4932,,,,,
1924-06,,,5.2509,,,,,
1924-07,,,5.1701,,,,,
1924-08,,,5.3586,,,,,
1924-09,,,5.5471,,,,,
1924-10,,,5.6817,,,,,
1924-11,,,5.7894,,,,,
1924-12,,,5.951,,,,,
1925-01,,,6.1395,,,,,
1925-02,,,6.1395,,,,,
