fecha,expectativa_michigan
1978-01,5.2
1978-02,6.4
1978-03,6.3
1978-04,6.7
1978-05,6.9
1978-06,6.5
1978-07,6.6
1978-08,8.7
1978-09,6.9
1978-10,7.4
1978-11,7.5
1978-12,7.3
1979-01,7.8
1979-02,9.3
1979-03,8.8
1979-04,9.7
1979-05,9.8
1979-06,9.9
1979-07,9.9
1979-08,9.9
1979-09,9.6
1979-10,9.0
1979-11,10.0
1979-12,9.9
1980-01,10.4
1980-02,10.0
1980-03,10.2
1980-04,10.1
1980-05,8.6
1980-06,8.5
1980-07,9.6
1980-08,7.6
1980-09,9.1
1980-10,9.6
1980-11,8.6
1980-12,9.7
1981-01,9.5
1981-02,8.6
1981-03,7.2
1981-04,8.0
1981-05,7.3
1981-06,7.1
1981-07,6.8
1981-08,5.8
1981-09,6.9
1981-10,6.7
1981-11,7.3
1981-12,5.3
1982-01,5.1
1982-02,5.2
1982-03,4.2
1982-04,4.7
1982-05,3.5
1982-06,4.6
1982-07,5.0
1982-08,4.8
1982-09,4.5
1982-10,4.7
1982-11,4.5
1982-12,3.7
1983-01,2.8
1983-02,3.0
1983-03,1.8
1983-04,3.4
1983-05,3.2
1983-06,3.2
1983-07,3.2
1983-08,3.3
1983-09,3.3
1983-10,3.7
1983-11,3.5
1983-12,3.5
1984-01,3.2
1984-02,3.3
1984-03,3.4
1984-04,3.9
1984-05,4.2
1984-06,4.2
1984-07,3.4
1984-08,3.0
1984-09,3.0
1984-10,3.5
1984-11,3.4
1984-12,3.3
1985-01,2.9
1985-02,3.1
1985-03,3.0
1985-04,3.3
1985-05,3.2
1985-06,3.4
1985-07,2.8
1985-08,2.8
1985-09,2.9
1985-10,3.3
1985-11,3.1
1985-12,3.5
1986-01,2.9
1986-02,2.8
1986-03,2.3
1986-04,2.4
1986-05,2.7
1986-06,2.9
1986-07,2.8
1986-08,3.0
1986-09,2.9
1986-10,3.2
1986-11,2.8
1986-12,3.0
1987-01,2.9
1987-02,3.1
1987-03,3.0
1987-04,3.0
1987-05,3.4
1987-06,3.3
1987-07,3.1
1987-08,3.2
1987-09,3.0
1987-10,3.3
1987-11,3.2
1987-12,3.1
1988-01,3.2
1988-02,3.1
1988-03,3.2
1988-04,3.3
1988-05,3.3
1988-06,3.7
1988-07,4.6
1988-08,4.4
1988-09,3.9
1988-10,3.9
1988-11,3.7
1988-12,3.9
1989-01,3.5
1989-02,4.1
1989-03,3.7
1989-04,4.3
1989-05,4.6
1989-06,3.8
1989-07,4.1
1989-08,3.5
1989-09,3.4
1989-10,3.6
1989-11,3.5
1989-12,3.5
1990-01,4.1
1990-02,4.1
1990-03,3.7
1990-04,3.6
1990-05,3.4
1990-06,3.8
1990-07,3.4
1990-08,4.6
1990-09,4.7
1990-10,4.8
1990-11,4.7
1990-12,4.7
1991-01,3.9
1991-02,3.4
1991-03,3.3
1991-04,3.2
1991-05,3.1
1991-06,3.3
1991-07,3.1
1991-08,3.2
1991-09,3.0
1991-10,3.2
1991-11,2.9
1991-12,2.7
1992-01,2.7
1992-02,2.6
1992-03,2.6
1992-04,3.0
1992-05,2.9
1992-06,3.1
1992-07,2.7
1992-08,2.8
1992-09,3.0
1992-10,2.8
1992-11,2.9
1992-12,2.8
1993-01,2.9
1993-02,3.2
1993-03,3.1
1993-04,3.0
1993-05,2.9
1993-06,3.5
1993-07,3.0
1993-08,3.2
1993-09,3.0
1993-10,3.3
1993-11,2.8
1993-12,3.0
1994-01,2.8
1994-02,2.8
1994-03,3.0
1994-04,3.0
1994-05,3.1
1994-06,2.7
1994-07,2.9
1994-08,3.1
