mes,bienes_capital,materiales,consumo_durable,consumo_no_durable,productos_finales,produccion_total,viviendas_iniciadas,permisos,tasa_politica,tasa_10y,tips_10y,breakeven_10y,exp_infl_1y,hipotecaria_30y,ipc,M2,credito_consumo,ratio,ln_ratio,d_ratio,ratio_alt,d_ratio_alt,infl_anual,r_tips,r_exante,r_hipo,r_expost,d_prod,d_covid,d_crisis,ln_ratio_alt,c_hp,t_hp,c_ham,c_det,t_det,c_hp_alt,c_ham_alt
1919-01,,,,,,4.8739,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-02,,,,,,4.6585,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-03,,,,,,4.5238,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-04,,,,,,4.6046,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-05,,,,,,4.6315,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-06,,,,,,4.9277,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-07,,,,,,5.2239,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-08,,,,,,5.3047,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-09,,,,,,5.197,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-10,,,,,,5.1432,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-11,,,,,,5.0624,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1919-12,,,,,,5.1432,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
1920-01,,,,,,5.6279,,,,,,,,,,,,,,,,,,,,,,14.384193282953085,0,0,,,,,,,,
1920-02,,,,,,5.6279,,,,,,,,,,,,,,,,,,,,,,18.904286288459147,0,0,,,,,,,,
1920-03,,,,,,5.5201,,,,,,,,,,,,,,,,,,,,,,19.904362745519766,0,0,,,,,,,,
1920-04,,,,,,5.2239,,,,,,,,,,,,,,,,,,,,,,12.618844554317699,0,0,,,,,,,,
1920-05,,,,,,5.3586,,,,,,,,,,,,,,,,,,,,,,14.582195722381307,0,0,,,,,,,,
1920-06,,,,,,5.4124,,,,,,,,,,,,,,,,,,,,,,9.382026965256696,0,0,,,,,,,,
1920-07,,,,,,5.2778,,,,,,,,,,,,,,,,,,,,,,1.0265094850517853,0,0,,,,,,,,
1920-08,,,,,,5.3047,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,,,,,,,
1920-09,,,,,,5.1162,,,,,,,,,,,,,,,,,,,,,,-1.5669560032382845,0,0,,,,,,,,
1920-10,,,,,,4.9008,,,,,,,,,,,,,,,,,,,,,,-4.827699674896624,0,0,,,,,,,,
1920-11,,,,,,4.4969,,,,,,,,,,,,,,,,,,,,,,-11.845240865673956,0,0,,,,,,,,
1920-12,,,,,,4.2276,,,,,,,,,,,,,,,,,,,,,,-19.604099769228476,0,0,,,,,,,,
1921-01,,,,,,3.9853,,,,,,,,,,,,,,,,,,,,,,-34.51237790756689,0,0,,,,,,,,
1921-02,,,,,,3.9045,,,,,,,,,,,,,,,,,,,,,,-36.56066366723414,0,0,,,,,,,,
1921-03,,,,,,3.7968,,,,,,,,,,,,,,,,,,,,,,-37.42373693675793,0,0,,,,,,,,
1921-04,,,,,,3.7968,,,,,,,,,,,,,,,,,,,,,,-31.908564267194773,0,0,,,,,,,,
1921-05,,,,,,3.9045,,,,,,,,,,,,,,,,,,,,,,-31.65730128151656,0,0,,,,,,,,
1921-06,,,,,,3.8776,,,,,,,,,,,,,,,,,,,,,,-33.347621185832274,0,0,,,,,,,,
1921-07,,,,,,3.8506,,,,,,,,,,,,,,,,,,,,,,-31.52803639087296,0,0,,,,,,,,
1921-08,,,,,,3.9853,,,,,,,,,,,,,,,,,,,,,,-28.598062832551776,0,0,,,,,,,,
1921-09,,,,,,4.0122,,,,,,,,,,,,,,,,,,,,,,-24.30722566880712,0,0,,,,,,,,
1921-10,,,,,,4.2545,,,,,,,,,,,,,,,,,,,,,,-14.142121078889879,0,0,,,,,,,,
1921-11,,,,,,4.2007,,,,,,,,,,,,,,,,,,,,,,-6.813709242576005,0,0,,,,,,,,
1921-12,,,,,,4.1738,,,,,,,,,,,,,,,,,,,,,,-1.280756431446206,0,0,,,,,,,,
1922-01,,,,,,4.3353,,,,,,,,,,,,,,,,,,,,,,8.417822027299238,0,0,,,,,,,,
1922-02,,,,,,4.5238,,,,,,,,,,,,,,,,,,,,,,14.722261449115104,0,0,,,,,,,,
1922-03,,,,,,4.7662,,,,,,,,,,,,,,,,,,,,,,22.739073500776463,0,0,,,,,,,,
1922-04,,,,,,4.6046,,,,,,,,,,,,,,,,,,,,,,19.289719712877073,0,0,,,,,,,,
1922-05,,,,,,4.847,,,,,,,,,,,,,,,,,,,,,,21.623022274264624,0,0,,,,,,,,
1922-06,,,,,,5.0893,,,,,,,,,,,,,,,,,,,,,,27.192389099807613,0,0,,,,,,,,
1922-07,,,,,,5.0893,,,,,,,,,,,,,,,,,,,,,,27.89113162340073,0,0,,,,,,,,
1922-08,,,,,,4.9816,,,,,,,,,,,,,,,,,,,,,,22.313853285884,0,0,,,,,,,,
1922-09,,,,,,5.2509,,,,,,,,,,,,,,,,,,,,,,26.905977117691158,0,0,,,,,,,,
1922-10,,,,,,5.5471,,,,,,,,,,,,,,,,,,,,,,26.52980223658792,0,0,,,,,,,,
1922-11,,,,,,5.7894,,,,,,,,,,,,,,,,,,,,,,32.077748120361264,0,0,,,,,,,,
1922-12,,,,,,5.951,,,,,,,,,,,,,,,,,,,,,,35.47323808241218,0,0,,,,,,,,
1923-01,,,,,,5.8163,,,,,,,,,,,,,,,,,,,,,,29.387350875385444,0,0,,,,,,,,
1923-02,,,,,,5.8971,,,,,,,,,,,,,,,,,,,,,,26.51083560379819,0,0,,,,,,,,
1923-03,,,,,,6.0856,,,,,,,,,,,,,,,,,,,,,,24.437598299382767,0,0,,,,,,,,
1923-04,,,,,,6.2203,,,,,,,,,,,,,,,,,,,,,,30.076233327110735,0,0,,,,,,,,
1923-05,,,,,,6.301,,,,,,,,,,,,,,,,,,,,,,26.234839409667956,0,0,,,,,,,,
1923-06,,,,,,6.2472,,,,,,,,,,,,,,,,,,,,,,20.499306681922302,0,0,,,,,,,,
1923-07,,,,,,6.1933,,,,,,,,,,,,,,,,,,,,,,19.63277660246696,0,0,,,,,,,,
1923-08,,,,,,6.0856,,,,,,,,,,,,,,,,,,,,,,20.01742001248492,0,0,,,,,,,,
1923-09,,,,,,5.951,,,,,,,,,,,,,,,,,,,,,,12.515978217995261,0,0,,,,,,,,
1923-10,,,,,,5.9241,,,,,,,,,,,,,,,,,,,,,,6.575350807588243,0,0,,,,,,,,
1923-11,,,,,,5.9241,,,,,,,,,,,,,,,,,,,,,,2.3000117476980497,0,0,,,,,,,,
1923-12,,,,,,5.7894,,,,,,,,,,,,,,,,,,,,,,-2.7530613390458925,0,0,,,,,,,,
1924-01,,,,,,5.924,,,,,,,,,,,,,,,,,,,,,,1.8347575661440407,0,0,,,,,,,,
1924-02,,,,,,6.0318,,,,,,,,,,,,,,,,,,,,,,2.2584769007566674,0,0,,,,,,,,
1924-03,,,,,,5.9241,,,,,,,,,,,,,,,,,,,,,,-2.689654795171781,0,0,,,,,,,,
1924-04,,,,,,5.7356,,,,,,,,,,,,,,,,,,,,,,-8.112577124049313,0,0,,,,,,,,
1924-05,,,,,,5.4932,,,,,,,,,,,,,,,,,,,,,,-13.719738728592867,0,0,,,,,,,,
1924-06,,,,,,5.2509,,,,,,,,,,,,,,,,,,,,,,-17.3733872883566,0,0,,,,,,,,
1924-07,,,,,,5.1701,,,,,,,,,,,,,,,,,,,,,,-18.05760318787304,0,0,,,,,,,,
1924-08,,,,,,5.3586,,,,,,,,,,,,,,,,,,,,,,-12.722257776519609,0,0,,,,,,,,
1924-09,,,,,,5.5471,,,,,,,,,,,,,,,,,,,,,,-7.0284003989360855,0,0,,,,,,,,
1924-10,,,,,,5.6817,,,,,,,,,,,,,,,,,,,,,,-4.177829302157421,0,0,,,,,,,,
1924-11,,,,,,5.7894,,,,,,,,,,,,,,,,,,,,,,-2.3000117476980497,0,0,,,,,,,,
1924-12,,,,,,5.951,,,,,,,,,,,,,,,,,,,,,,2.7530613390458925,0,0,,,,,,,,
1925-01,,,,,,6.1395,,,,,,,,,,,,,,,,,,,,,,3.5731409212877985,0,0,,,,,,,,
1925-02,,,,,,6.1395,,,,,,,,,,,,,,,,,,,,,,1.7697831961138055,0,0,,,,,,,,
1925-03,,,,,,6.1395,,,,,,,,,,,,,,,,,,,,,,3.5714528869193796,0,0,,,,,,,,
1925-04,,,,,,6.1933,,,,,,,,,,,,,,,,,,,,,,7.677569671302797,0,0,,,,,,,,
1925-05,,,,,,6.1664,,,,,,,,,,,,,,,,,,,,,,11.560423556392042,0,0,,,,,,,,
1925-06,,,,,,6.1125,,,,,,,,,,,,,,,,,,,,,,15.19363643182281,0,0,,,,,,,,
1925-07,,,,,,6.2741,,,,,,,,,,,,,,,,,,,,,,19.35380177434476,0,0,,,,,,,,
1925-08,,,,,,6.1664,,,,,,,,,,,,,,,,,,,,,,14.041245230215193,0,0,,,,,,,,
1925-09,,,,,,6.0856,,,,,,,,,,,,,,,,,,,,,,9.265005602760024,0,0,,,,,,,,
1925-10,,,,,,6.328,,,,,,,,,,,,,,,,,,,,,,10.773374673769043,0,0,,,,,,,,
1925-11,,,,,,6.4626,,,,,,,,,,,,,,,,,,,,,,11.000305433038648,0,0,,,,,,,,
1925-12,,,,,,6.5434,,,,,,,,,,,,,,,,,,,,,,9.489763539265251,0,0,,,,,,,,
1926-01,,,,,,6.4357,,,,,,,,,,,,,,,,,,,,,,4.711730962231275,0,0,,,,,,,,
1926-02,,,,,,6.4357,,,,,,,,,,,,,,,,,,,,,,4.711730962231275,0,0,,,,,,,,
1926-03,,,,,,6.5165,,,,,,,,,,,,,,,,,,,,,,5.959411637020695,0,0,,,,,,,,
1926-04,,,,,,6.5165,,,,,,,,,,,,,,,,,,,,,,5.0869359416862325,0,0,,,,,,,,
1926-05,,,,,,6.4626,,,,,,,,,,,,,,,,,,,,,,4.691651436473232,0,0,,,,,,,,
1926-06,,,,,,6.5434,,,,,,,,,,,,,,,,,,,,,,6.812105325437701,0,0,,,,,,,,
1926-07,,,,,,6.5703,,,,,,,,,,,,,,,,,,,,,,4.6129445118001655,0,0,,,,,,,,
1926-08,,,,,,6.6511,,,,,,,,,,,,,,,,,,,,,,7.5667055284377005,0,0,,,,,,,,
1926-09,,,,,,6.7588,,,,,,,,,,,,,,,,,,,,,,10.492003480340317,0,0,,,,,,,,
1926-10,,,,,,6.7588,,,,,,,,,,,,,,,,,,,,,,6.586112903900476,0,0,,,,,,,,
1926-11,,,,,,6.7319,,,,,,,,,,,,,,,,,,,,,,4.08257081889698,0,0,,,,,,,,
1926-12,,,,,,6.705,,,,,,,,,,,,,,,,,,,,,,2.439660867827431,0,0,,,,,,,,
1927-01,,,,,,6.678,,,,,,,,,,,,,,,,,,,,,,3.695792628071959,0,0,,,,,,,,
1927-02,,,,,,6.7319,,,,,,,,,,,,,,,,,,,,,,4.499680655086924,0,0,,,,,,,,
1927-03,,,,,,6.8127,,,,,,,,,,,,,,,,,,,,,,4.445109536795866,0,0,,,,,,,,
