freq,indic_bt,nace_r2,s_adj,unit,geo,time,valor
M,PRD,C28,SCA,I15,EA20,1991-01,88.9
M,PRD,C28,SCA,I15,EA20,1991-02,86.6
M,PRD,C28,SCA,I15,EA20,1991-03,86.5
M,PRD,C28,SCA,I15,EA20,1991-04,84.5
M,PRD,C28,SCA,I15,EA20,1991-05,83.4
M,PRD,C28,SCA,I15,EA20,1991-06,86.3
M,PRD,C28,SCA,I15,EA20,1991-07,84.4
M,PRD,C28,SCA,I15,EA20,1991-08,82.5
M,PRD,C28,SCA,I15,EA20,1991-09,80.5
M,PRD,C28,SCA,I15,EA20,1991-10,82.7
M,PRD,C28,SCA,I15,EA20,1991-11,82.5
M,PRD,C28,SCA,I15,EA20,1991-12,83.1
M,PRD,C28,SCA,I15,EA20,1992-01,83.0
M,PRD,C28,SCA,I15,EA20,1992-02,84.8
M,PRD,C28,SCA,I15,EA20,1992-03,81.6
M,PRD,C28,SCA,I15,EA20,1992-04,83.5
M,PRD,C28,SCA,I15,EA20,1992-05,81.2
M,PRD,C28,SCA,I15,EA20,1992-06,79.3
M,PRD,C28,SCA,I15,EA20,1992-07,77.6
M,PRD,C28,SCA,I15,EA20,1992-08,77.2
M,PRD,C28,SCA,I15,EA20,1992-09,77.0
M,PRD,C28,SCA,I15,EA20,1992-10,75.4
M,PRD,C28,SCA,I15,EA20,1992-11,74.7
M,PRD,C28,SCA,I15,EA20,1992-12,71.8
M,PRD,C28,SCA,I15,EA20,1993-01,73.0
M,PRD,C28,SCA,I15,EA20,1993-02,70.8
M,PRD,C28,SCA,I15,EA20,1993-03,71.3
M,PRD,C28,SCA,I15,EA20,1993-04,70.2
M,PRD,C28,SCA,I15,EA20,1993-05,72.6
M,PRD,C28,SCA,I15,EA20,1993-06,69.2
M,PRD,C28,SCA,I15,EA20,1993-07,68.1
M,PRD,C28,SCA,I15,EA20,1993-08,70.1
M,PRD,C28,SCA,I15,EA20,1993-09,70.1
M,PRD,C28,SCA,I15,EA20,1993-10,68.9
M,PRD,C28,SCA,I15,EA20,1993-11,66.5
M,PRD,C28,SCA,I15,EA20,1993-12,69.7
M,PRD,C28,SCA,I15,EA20,1994-01,67.7
M,PRD,C28,SCA,I15,EA20,1994-02,74.1
M,PRD,C28,SCA,I15,EA20,1994-03,69.1
M,PRD,C28,SCA,I15,EA20,1994-04,72.0
M,PRD,C28,SCA,I15,EA20,1994-05,72.1
M,PRD,C28,SCA,I15,EA20,1994-06,70.9
M,PRD,C28,SCA,I15,EA20,1994-07,72.2
M,PRD,C28,SCA,I15,EA20,1994-08,73.3
M,PRD,C28,SCA,I15,EA20,1994-09,72.4
M,PRD,C28,SCA,I15,EA20,1994-10,74.8
M,PRD,C28,SCA,I15,EA20,1994-11,74.9
M,PRD,C28,SCA,I15,EA20,1994-12,75.4
M,PRD,C28,SCA,I15,EA20,1995-01,73.7
M,PRD,C28,SCA,I15,EA20,1995-02,75.9
M,PRD,C28,SCA,I15,EA20,1995-03,76.0
M,PRD,C28,SCA,I15,EA20,1995-04,75.5
M,PRD,C28,SCA,I15,EA20,1995-05,76.4
M,PRD,C28,SCA,I15,EA20,1995-06,75.8
M,PRD,C28,SCA,I15,EA20,1995-07,78.7
M,PRD,C28,SCA,I15,EA20,1995-08,77.0
M,PRD,C28,SCA,I15,EA20,1995-09,78.0
M,PRD,C28,SCA,I15,EA20,1995-10,76.4
M,PRD,C28,SCA,I15,EA20,1995-11,77.4
M,PRD,C28,SCA,I15,EA20,1995-12,80.7
M,PRD,C28,SCA,I15,EA20,1996-01,78.0
M,PRD,C28,SCA,I15,EA20,1996-02,76.2
M,PRD,C28,SCA,I15,EA20,1996-03,77.2
M,PRD,C28,SCA,I15,EA20,1996-04,77.3
M,PRD,C28,SCA,I15,EA20,1996-05,76.3
M,PRD,C28,SCA,I15,EA20,1996-06,78.4
M,PRD,C28,SCA,I15,EA20,1996-07,76.6
M,PRD,C28,SCA,I15,EA20,1996-08,76.0
M,PRD,C28,SCA,I15,EA20,1996-09,79.0
M,PRD,C28,SCA,I15,EA20,1996-10,76.8
M,PRD,C28,SCA,I15,EA20,1996-11,78.1
M,PRD,C28,SCA,I15,EA20,1996-12,77.7
M,PRD,C28,SCA,I15,EA20,1997-01,77.1
M,PRD,C28,SCA,I15,EA20,1997-02,78.2
M,PRD,C28,SCA,I15,EA20,1997-03,79.0
M,PRD,C28,SCA,I15,EA20,1997-04,78.7
M,PRD,C28,SCA,I15,EA20,1997-05,78.7
M,PRD,C28,SCA,I15,EA20,1997-06,81.1
M,PRD,C28,SCA,I15,EA20,1997-07,81.7
M,PRD,C28,SCA,I15,EA20,1997-08,80.9
M,PRD,C28,SCA,I15,EA20,1997-09,81.3
M,PRD,C28,SCA,I15,EA20,1997-10,83.3
M,PRD,C28,SCA,I15,EA20,1997-11,83.4
M,PRD,C28,SCA,I15,EA20,1997-12,82.7
M,PRD,C28,SCA,I15,EA20,1998-01,84.9
M,PRD,C28,SCA,I15,EA20,1998-02,85.2
M,PRD,C28,SCA,I15,EA20,1998-03,85.8
M,PRD,C28,SCA,I15,EA20,1998-04,86.2
M,PRD,C28,SCA,I15,EA20,1998-05,86.8
M,PRD,C28,SCA,I15,EA20,1998-06,85.3
M,PRD,C28,SCA,I15,EA20,1998-07,87.6
M,PRD,C28,SCA,I15,EA20,1998-08,84.5
M,PRD,C28,SCA,I15,EA20,1998-09,83.1
M,PRD,C28,SCA,I15,EA20,1998-10,84.1
M,PRD,C28,SCA,I15,EA20,1998-11,83.9
M,PRD,C28,SCA,I15,EA20,1998-12,83.6
M,PRD,C28,SCA,I15,EA20,1999-01,84.8
M,PRD,C28,SCA,I15,EA20,1999-02,84.1
M,PRD,C28,SCA,I15,EA20,1999-03,84.1
M,PRD,C28,SCA,I15,EA20,1999-04,84.2
M,PRD,C28,SCA,I15,EA20,1999-05,84.1
M,PRD,C28,SCA,I15,EA20,1999-06,83.8
M,PRD,C28,SCA,I15,EA20,1999-07,84.2
M,PRD,C28,SCA,I15,EA20,1999-08,84.3
M,PRD,C28,SCA,I15,EA20,1999-09,84.1
M,PRD,C28,SCA,I15,EA20,1999-10,84.9
M,PRD,C28,SCA,I15,EA20,1999-11,84.9
M,PRD,C28,SCA,I15,EA20,1999-12,83.6
M,PRD,C28,SCA,I15,EA20,2000-01,86.7
M,PRD,C28,SCA,I15,EA20,2000-02,86.0
M,PRD,C28,SCA,I15,EA20,2000-03,87.5
M,PRD,C28,SCA,I15,EA20,2000-04,89.3
M,PRD,C28,SCA,I15,EA20,2000-05,89.9
M,PRD,C28,SCA,I15,EA20,2000-06,88.9
M,PRD,C28,SCA,I15,EA20,2000-07,90.4
M,PRD,C28,SCA,I15,EA20,2000-08,91.0
M,PRD,C28,SCA,I15,EA20,2000-09,92.4
M,PRD,C28,SCA,I15,EA20,2000-10,92.3
M,PRD,C28,SCA,I15,EA20,2000-11,92.7
M,PRD,C28,SCA,I15,EA20,2000-12,93.5
M,PRD,C28,SCA,I15,EA20,2001-01,92.4
M,PRD,C28,SCA,I15,EA20,2001-02,92.7
M,PRD,C28,SCA,I15,EA20,2001-03,92.2
M,PRD,C28,SCA,I15,EA20,2001-04,91.2
M,PRD,C28,SCA,I15,EA20,2001-05,91.6
M,PRD,C28,SCA,I15,EA20,2001-06,92.1
M,PRD,C28,SCA,I15,EA20,2001-07,90.7
M,PRD,C28,SCA,I15,EA20,2001-08,92.5
M,PRD,C28,SCA,I15,EA20,2001-09,91.5
M,PRD,C28,SCA,I15,EA20,2001-10,89.8
M,PRD,C28,SCA,I15,EA20,2001-11,88.5
M,PRD,C28,SCA,I15,EA20,2001-12,90.6
M,PRD,C28,SCA,I15,EA20,2002-01,89.3
M,PRD,C28,SCA,I15,EA20,2002-02,89.0
M,PRD,C28,SCA,I15,EA20,2002-03,89.2
M,PRD,C28,SCA,I15,EA20,2002-04,89.2
M,PRD,C28,SCA,I15,EA20,2002-05,89.3
M,PRD,C28,SCA,I15,EA20,2002-06,90.5
M,PRD,C28,SCA,I15,EA20,2002-07,88.8
M,PRD,C28,SCA,I15,EA20,2002-08,88.8
M,PRD,C28,SCA,I15,EA20,2002-09,89.9
M,PRD,C28,SCA,I15,EA20,2002-10,88.4
M,PRD,C28,SCA,I15,EA20,2002-11,92.0
M,PRD,C28,SCA,I15,EA20,2002-12,91.1
M,PRD,C28,SCA,I15,EA20,2003-01,89.6
