freq,indic_bt,nace_r2,s_adj,unit,geo,time,valor
M,PRD,MIG_CAG,SCA,I15,EA20,1991-01,72.0
M,PRD,MIG_CAG,SCA,I15,EA20,1991-02,70.1
M,PRD,MIG_CAG,SCA,I15,EA20,1991-03,69.9
M,PRD,MIG_CAG,SCA,I15,EA20,1991-04,69.1
M,PRD,MIG_CAG,SCA,I15,EA20,1991-05,68.9
M,PRD,MIG_CAG,SCA,I15,EA20,1991-06,71.0
M,PRD,MIG_CAG,SCA,I15,EA20,1991-07,68.6
M,PRD,MIG_CAG,SCA,I15,EA20,1991-08,69.1
M,PRD,MIG_CAG,SCA,I15,EA20,1991-09,68.4
M,PRD,MIG_CAG,SCA,I15,EA20,1991-10,68.8
M,PRD,MIG_CAG,SCA,I15,EA20,1991-11,69.8
M,PRD,MIG_CAG,SCA,I15,EA20,1991-12,68.8
M,PRD,MIG_CAG,SCA,I15,EA20,1992-01,70.2
M,PRD,MIG_CAG,SCA,I15,EA20,1992-02,70.5
M,PRD,MIG_CAG,SCA,I15,EA20,1992-03,69.6
M,PRD,MIG_CAG,SCA,I15,EA20,1992-04,69.4
M,PRD,MIG_CAG,SCA,I15,EA20,1992-05,68.8
M,PRD,MIG_CAG,SCA,I15,EA20,1992-06,67.8
M,PRD,MIG_CAG,SCA,I15,EA20,1992-07,66.2
M,PRD,MIG_CAG,SCA,I15,EA20,1992-08,67.3
M,PRD,MIG_CAG,SCA,I15,EA20,1992-09,65.6
M,PRD,MIG_CAG,SCA,I15,EA20,1992-10,65.7
M,PRD,MIG_CAG,SCA,I15,EA20,1992-11,64.9
M,PRD,MIG_CAG,SCA,I15,EA20,1992-12,63.2
M,PRD,MIG_CAG,SCA,I15,EA20,1993-01,63.0
M,PRD,MIG_CAG,SCA,I15,EA20,1993-02,61.2
M,PRD,MIG_CAG,SCA,I15,EA20,1993-03,61.4
M,PRD,MIG_CAG,SCA,I15,EA20,1993-04,60.7
M,PRD,MIG_CAG,SCA,I15,EA20,1993-05,61.0
M,PRD,MIG_CAG,SCA,I15,EA20,1993-06,59.9
M,PRD,MIG_CAG,SCA,I15,EA20,1993-07,58.7
M,PRD,MIG_CAG,SCA,I15,EA20,1993-08,61.3
M,PRD,MIG_CAG,SCA,I15,EA20,1993-09,60.4
M,PRD,MIG_CAG,SCA,I15,EA20,1993-10,60.6
M,PRD,MIG_CAG,SCA,I15,EA20,1993-11,59.1
M,PRD,MIG_CAG,SCA,I15,EA20,1993-12,60.1
M,PRD,MIG_CAG,SCA,I15,EA20,1994-01,58.8
M,PRD,MIG_CAG,SCA,I15,EA20,1994-02,61.3
M,PRD,MIG_CAG,SCA,I15,EA20,1994-03,60.7
M,PRD,MIG_CAG,SCA,I15,EA20,1994-04,62.5
M,PRD,MIG_CAG,SCA,I15,EA20,1994-05,62.3
M,PRD,MIG_CAG,SCA,I15,EA20,1994-06,63.3
M,PRD,MIG_CAG,SCA,I15,EA20,1994-07,63.6
M,PRD,MIG_CAG,SCA,I15,EA20,1994-08,63.0
M,PRD,MIG_CAG,SCA,I15,EA20,1994-09,64.0
M,PRD,MIG_CAG,SCA,I15,EA20,1994-10,65.2
M,PRD,MIG_CAG,SCA,I15,EA20,1994-11,65.0
M,PRD,MIG_CAG,SCA,I15,EA20,1994-12,66.0
M,PRD,MIG_CAG,SCA,I15,EA20,1995-01,65.7
M,PRD,MIG_CAG,SCA,I15,EA20,1995-02,66.5
M,PRD,MIG_CAG,SCA,I15,EA20,1995-03,66.2
M,PRD,MIG_CAG,SCA,I15,EA20,1995-04,66.4
M,PRD,MIG_CAG,SCA,I15,EA20,1995-05,67.2
M,PRD,MIG_CAG,SCA,I15,EA20,1995-06,66.9
M,PRD,MIG_CAG,SCA,I15,EA20,1995-07,67.2
M,PRD,MIG_CAG,SCA,I15,EA20,1995-08,67.0
M,PRD,MIG_CAG,SCA,I15,EA20,1995-09,68.4
M,PRD,MIG_CAG,SCA,I15,EA20,1995-10,67.4
M,PRD,MIG_CAG,SCA,I15,EA20,1995-11,68.4
M,PRD,MIG_CAG,SCA,I15,EA20,1995-12,70.4
M,PRD,MIG_CAG,SCA,I15,EA20,1996-01,68.4
M,PRD,MIG_CAG,SCA,I15,EA20,1996-02,67.8
M,PRD,MIG_CAG,SCA,I15,EA20,1996-03,68.1
M,PRD,MIG_CAG,SCA,I15,EA20,1996-04,67.9
M,PRD,MIG_CAG,SCA,I15,EA20,1996-05,68.0
M,PRD,MIG_CAG,SCA,I15,EA20,1996-06,68.6
M,PRD,MIG_CAG,SCA,I15,EA20,1996-07,67.4
M,PRD,MIG_CAG,SCA,I15,EA20,1996-08,68.2
M,PRD,MIG_CAG,SCA,I15,EA20,1996-09,68.6
M,PRD,MIG_CAG,SCA,I15,EA20,1996-10,67.9
M,PRD,MIG_CAG,SCA,I15,EA20,1996-11,69.1
M,PRD,MIG_CAG,SCA,I15,EA20,1996-12,68.5
M,PRD,MIG_CAG,SCA,I15,EA20,1997-01,68.4
M,PRD,MIG_CAG,SCA,I15,EA20,1997-02,68.9
M,PRD,MIG_CAG,SCA,I15,EA20,1997-03,70.3
M,PRD,MIG_CAG,SCA,I15,EA20,1997-04,71.0
M,PRD,MIG_CAG,SCA,I15,EA20,1997-05,69.9
M,PRD,MIG_CAG,SCA,I15,EA20,1997-06,72.1
M,PRD,MIG_CAG,SCA,I15,EA20,1997-07,72.8
M,PRD,MIG_CAG,SCA,I15,EA20,1997-08,72.7
M,PRD,MIG_CAG,SCA,I15,EA20,1997-09,72.2
M,PRD,MIG_CAG,SCA,I15,EA20,1997-10,73.4
M,PRD,MIG_CAG,SCA,I15,EA20,1997-11,73.6
M,PRD,MIG_CAG,SCA,I15,EA20,1997-12,73.6
M,PRD,MIG_CAG,SCA,I15,EA20,1998-01,74.5
M,PRD,MIG_CAG,SCA,I15,EA20,1998-02,75.3
M,PRD,MIG_CAG,SCA,I15,EA20,1998-03,75.3
M,PRD,MIG_CAG,SCA,I15,EA20,1998-04,75.6
M,PRD,MIG_CAG,SCA,I15,EA20,1998-05,76.5
M,PRD,MIG_CAG,SCA,I15,EA20,1998-06,75.9
M,PRD,MIG_CAG,SCA,I15,EA20,1998-07,77.4
M,PRD,MIG_CAG,SCA,I15,EA20,1998-08,75.9
M,PRD,MIG_CAG,SCA,I15,EA20,1998-09,76.3
M,PRD,MIG_CAG,SCA,I15,EA20,1998-10,77.4
M,PRD,MIG_CAG,SCA,I15,EA20,1998-11,76.8
M,PRD,MIG_CAG,SCA,I15,EA20,1998-12,75.3
M,PRD,MIG_CAG,SCA,I15,EA20,1999-01,76.7
M,PRD,MIG_CAG,SCA,I15,EA20,1999-02,76.1
M,PRD,MIG_CAG,SCA,I15,EA20,1999-03,75.8
M,PRD,MIG_CAG,SCA,I15,EA20,1999-04,77.3
M,PRD,MIG_CAG,SCA,I15,EA20,1999-05,77.4
M,PRD,MIG_CAG,SCA,I15,EA20,1999-06,77.4
M,PRD,MIG_CAG,SCA,I15,EA20,1999-07,78.2
M,PRD,MIG_CAG,SCA,I15,EA20,1999-08,77.3
M,PRD,MIG_CAG,SCA,I15,EA20,1999-09,78.7
M,PRD,MIG_CAG,SCA,I15,EA20,1999-10,79.6
M,PRD,MIG_CAG,SCA,I15,EA20,1999-11,79.9
M,PRD,MIG_CAG,SCA,I15,EA20,1999-12,79.3
M,PRD,MIG_CAG,SCA,I15,EA20,2000-01,80.8
M,PRD,MIG_CAG,SCA,I15,EA20,2000-02,81.8
M,PRD,MIG_CAG,SCA,I15,EA20,2000-03,82.4
M,PRD,MIG_CAG,SCA,I15,EA20,2000-04,83.6
M,PRD,MIG_CAG,SCA,I15,EA20,2000-05,85.1
M,PRD,MIG_CAG,SCA,I15,EA20,2000-06,83.7
M,PRD,MIG_CAG,SCA,I15,EA20,2000-07,85.2
M,PRD,MIG_CAG,SCA,I15,EA20,2000-08,85.2
M,PRD,MIG_CAG,SCA,I15,EA20,2000-09,85.3
M,PRD,MIG_CAG,SCA,I15,EA20,2000-10,85.4
M,PRD,MIG_CAG,SCA,I15,EA20,2000-11,86.4
M,PRD,MIG_CAG,SCA,I15,EA20,2000-12,87.9
M,PRD,MIG_CAG,SCA,I15,EA20,2001-01,87.5
M,PRD,MIG_CAG,SCA,I15,EA20,2001-02,88.5
M,PRD,MIG_CAG,SCA,I15,EA20,2001-03,87.6
M,PRD,MIG_CAG,SCA,I15,EA20,2001-04,85.2
M,PRD,MIG_CAG,SCA,I15,EA20,2001-05,85.7
M,PRD,MIG_CAG,SCA,I15,EA20,2001-06,85.8
M,PRD,MIG_CAG,SCA,I15,EA20,2001-07,83.4
M,PRD,MIG_CAG,SCA,I15,EA20,2001-08,87.4
M,PRD,MIG_CAG,SCA,I15,EA20,2001-09,85.1
M,PRD,MIG_CAG,SCA,I15,EA20,2001-10,82.8
M,PRD,MIG_CAG,SCA,I15,EA20,2001-11,81.5
M,PRD,MIG_CAG,SCA,I15,EA20,2001-12,82.4
M,PRD,MIG_CAG,SCA,I15,EA20,2002-01,82.6
M,PRD,MIG_CAG,SCA,I15,EA20,2002-02,83.0
M,PRD,MIG_CAG,SCA,I15,EA20,2002-03,83.6
M,PRD,MIG_CAG,SCA,I15,EA20,2002-04,83.5
M,PRD,MIG_CAG,SCA,I15,EA20,2002-05,82.6
M,PRD,MIG_CAG,SCA,I15,EA20,2002-06,84.8
M,PRD,MIG_CAG,SCA,I15,EA20,2002-07,82.7
M,PRD,MIG_CAG,SCA,I15,EA20,2002-08,85.2
M,PRD,MIG_CAG,SCA,I15,EA20,2002-09,83.8
M,PRD,MIG_CAG,SCA,I15,EA20,2002-10,82.5
M,PRD,MIG_CAG,SCA,I15,EA20,2002-11,84.6
M,PRD,MIG_CAG,SCA,I15,EA20,2002-12,83.0
M,PRD,MIG_CAG,SCA,I15,EA20,2003-01,84.0
M,PRD,MIG_CAG,SCA,I15,EA20,2003-02,83.7
M,PRD,MIG_CAG,SCA,I15,EA20,2003-03,83.3
M,PRD,MIG_CAG,SCA,I15,EA20,2003-04,83.8
M,PRD,MIG_CAG,SCA,I15,EA20,2003-05,82.2
M,PRD,MIG_CAG,SCA,I15,EA20,2003-06,80.9
M,PRD,MIG_CAG,SCA,I15,EA20,2003-07,83.7
M,PRD,MIG_CAG,SCA,I15,EA20,2003-08,82.1
M,PRD,MIG_CAG,SCA,I15,EA20,2003-09,81.9
M,PRD,MIG_CAG,SCA,I15,EA20,2003-10,84.6
M,PRD,MIG_CAG,SCA,I15,EA20,2003-11,85.3
M,PRD,MIG_CAG,SCA,I15,EA20,2003-12,85.5
M,PRD,MIG_CAG,SCA,I15,EA20,2004-01,84.3
M,PRD,MIG_CAG,SCA,I15,EA20,2004-02,85.1
M,PRD,MIG_CAG,SCA,I15,EA20,2004-03,84.9
M,PRD,MIG_CAG,SCA,I15,EA20,2004-04,85.3
M,PRD,MIG_CAG,SCA,I15,EA20,2004-05,86.6
M,PRD,MIG_CAG,SCA,I15,EA20,2004-06,86.4
M,PRD,MIG_CAG,SCA,I15,EA20,2004-07,87.4
M,PRD,MIG_CAG,SCA,I15,EA20,2004-08,85.7
M,PRD,MIG_CAG,SCA,I15,EA20,2004-09,86.7
M,PRD,MIG_CAG,SCA,I15,EA20,2004-10,88.0
M,PRD,MIG_CAG,SCA,I15,EA20,2004-11,85.7
