freq,indic_bt,nace_r2,s_adj,unit,geo,time,valor
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-01,85.2
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-02,83.9
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-03,83.0
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-04,82.2
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-05,81.4
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-06,82.2
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-07,82.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-08,82.4
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-09,83.0
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-10,83.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-11,84.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1991-12,82.9
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-01,83.7
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-02,83.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-03,82.9
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-04,83.6
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-05,83.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-06,83.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-07,82.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-08,82.0
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-09,81.6
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-10,82.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-11,81.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1992-12,81.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-01,82.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-02,81.4
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-03,81.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-04,81.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-05,80.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-06,80.9
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-07,81.0
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-08,80.6
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-09,82.5
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-10,81.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-11,81.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1993-12,82.6
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-01,81.7
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-02,82.4
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-03,83.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-04,83.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-05,82.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-06,83.4
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-07,84.2
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-08,84.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-09,83.8
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-10,84.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-11,85.3
M,PRD,MIG_NDCOG,SCA,I15,EA20,1994-12,85.1
M,PRD,MIG_NDCOG,SCA,I15,EA20,1995-01,84.7
M,PRD,MIG_NDCOG,SCA,I15,EA20,1995-02,85.3
