iso3,anio,share_local,fx_share
AGO,1995,0.6579999999999999,0.3420000000000001
AGO,1996,0.594,0.406
AGO,1997,0.679,0.32099999999999995
AGO,1998,0.471,0.529
AGO,1999,0.497,0.503
AGO,2000,0.737,0.263
AGO,2001,0.849,0.15100000000000002
AGO,2002,0.817,0.18300000000000005
AGO,2003,0.8220000000000001,0.17799999999999994
AGO,2004,0.7050000000000001,0.29499999999999993
AGO,2005,0.768,0.23199999999999998
AGO,2006,0.746,0.254
AGO,2007,0.792,0.20799999999999996
AGO,2008,0.881,0.119
AGO,2009,0.886,0.11399999999999999
AGO,2010,0.865,0.135
AGO,2011,0.868,0.132
AGO,2012,0.6599999999999999,0.3400000000000001
AGO,2013,0.7130000000000001,0.2869999999999999
AGO,2014,0.663,0.33699999999999997
AGO,2015,0.608,0.392
AGO,2016,0.546,0.45399999999999996
AGO,2017,0.5509999999999999,0.44900000000000007
AGO,2018,0.47,0.53
AGO,2019,0.388,0.612
AGO,2020,0.351,0.649
AGO,2021,0.346,0.654
AGO,2022,0.349,0.651
AGO,2023,0.28,0.72
AGO,2024,0.352,0.648
AGO,2025,0.31000000000000005,0.69
ALB,1994,0.733,0.267
ALB,1995,0.727,0.273
ALB,1996,0.747,0.253
ALB,1997,0.745,0.255
ALB,1998,0.762,0.238
ALB,1999,0.763,0.237
ALB,2000,0.637,0.363
ALB,2001,0.677,0.32299999999999995
ALB,2002,0.7050000000000001,0.29499999999999993
ALB,2003,0.727,0.273
ALB,2004,0.739,0.261
ALB,2005,0.74,0.26
ALB,2006,0.745,0.255
ALB,2007,0.756,0.244
ALB,2008,0.761,0.239
ALB,2009,0.632,0.368
ALB,2010,0.595,0.405
ALB,2011,0.5920000000000001,0.4079999999999999
ALB,2012,0.579,0.42100000000000004
ALB,2013,0.593,0.40700000000000003
ALB,2014,0.5569999999999999,0.44300000000000006
ALB,2015,0.503,0.497
ALB,2016,0.501,0.499
ALB,2017,0.5,0.5
ALB,2018,0.507,0.493
ALB,2019,0.523,0.477
ALB,2020,0.506,0.494
ALB,2021,0.481,0.519
ALB,2022,0.507,0.493
ALB,2023,0.52,0.48
ALB,2024,0.5569999999999999,0.44300000000000006
ALB,2025,0.5740000000000001,0.42599999999999993
ARG,1989,0.6739999999999999,0.32600000000000007
ARG,1990,0.861,0.139
ARG,1991,0.844,0.15600000000000003
ARG,1992,0.8069999999999999,0.19300000000000006
ARG,1993,0.384,0.616
ARG,1994,0.43600000000000005,0.564
ARG,1995,0.42600000000000005,0.574
ARG,1996,0.401,0.599
ARG,1997,0.365,0.635
ARG,1998,0.33599999999999997,0.664
ARG,1999,0.278,0.722
ARG,2000,0.31000000000000005,0.69
ARG,2001,0.41200000000000003,0.588
ARG,2002,0.36,0.64
ARG,2003,0.612,0.388
ARG,2004,0.667,0.33299999999999996
ARG,2005,0.628,0.372
ARG,2006,0.596,0.404
ARG,2007,0.5780000000000001,0.42199999999999993
ARG,2008,0.637,0.363
ARG,2009,0.647,0.353
ARG,2010,0.622,0.378
ARG,2011,0.399,0.601
