fecha,valor,mes
2026-09-17,28599733.0,2026-09
2026-09-16,28607718.0,2026-09
2026-09-15,28650288.0,2026-09
2026-09-14,28668642.0,2026-09
2026-09-11,28658594.0,2026-09
2026-09-10,28647696.0,2026-09
2026-09-09,28647102.0,2026-09
2026-09-08,28677035.0,2026-09
2026-09-07,28702525.0,2026-09
2026-09-04,28691780.0,2026-09
2026-09-03,28678135.0,2026-09
2026-09-02,28631191.0,2026-09
2026-09-01,28595242.0,2026-09
2026-08-31,28549419.0,2026-08
2026-08-28,28487614.0,2026-08
2026-08-27,28453692.0,2026-08
2026-08-26,28403259.0,2026-08
2026-08-25,28421565.0,2026-08
2026-08-24,28439972.0,2026-08
2026-08-21,28474986.0,2026-08
2026-08-20,28551452.0,2026-08
2026-08-19,28598672.0,2026-08
2026-08-18,28674387.0,2026-08
2026-08-14,28671689.0,2026-08
2026-08-13,28661634.0,2026-08
2026-08-12,28643709.0,2026-08
2026-08-11,28665052.0,2026-08
2026-08-10,28701302.0,2026-08
2026-08-07,28724073.0,2026-08
2026-08-06,28745981.0,2026-08
2026-08-05,28759210.0,2026-08
2026-08-04,28796297.0,2026-08
2026-08-03,28834430.0,2026-08
2026-07-31,28793896.0,2026-07
2026-07-30,28760439.0,2026-07
2026-07-29,28659716.0,2026-07
2026-07-28,28625165.0,2026-07
2026-07-27,28575298.0,2026-07
2026-07-24,28488920.0,2026-07
2026-07-23,28477006.0,2026-07
2026-07-22,28488666.0,2026-07
2026-07-21,28521907.0,2026-07
2026-07-20,28580762.0,2026-07
2026-07-17,28621496.0,2026-07
2026-07-16,28679296.0,2026-07
2026-07-15,28735094.0,2026-07
2026-07-14,28834822.0,2026-07
2026-07-13,28858754.0,2026-07
2026-07-08,28802378.0,2026-07
2026-07-07,28716685.0,2026-07
2026-07-06,28567062.0,2026-07
2026-07-03,28374393.0,2026-07
2026-07-02,28252092.0,2026-07
2026-07-01,28000802.0,2026-07
2026-06-30,27890209.0,2026-06
2026-06-29,27763906.0,2026-06
2026-06-26,27540812.0,2026-06
2026-06-25,27358027.0,2026-06
2026-06-24,27124381.0,2026-06
2026-06-23,27044370.0,2026-06
2026-06-22,26974785.0,2026-06
2026-06-19,26925571.0,2026-06
2026-06-18,26881176.0,2026-06
2026-06-17,26829192.0,2026-06
2026-06-16,26769621.0,2026-06
2026-06-12,26622351.0,2026-06
2026-06-11,26450999.0,2026-06
2026-06-10,26301838.0,2026-06
2026-06-09,26279086.0,2026-06
2026-06-08,26222905.0,2026-06
2026-06-05,26119217.0,2026-06
2026-06-04,26043043.0,2026-06
2026-06-03,25940549.0,2026-06
2026-06-02,25884738.0,2026-06
2026-06-01,25835265.0,2026-06
2026-05-29,25719300.0,2026-05
2026-05-28,25641813.0,2026-05
2026-05-27,25564913.0,2026-05
2026-05-26,25504281.0,2026-05
2026-05-22,25408945.0,2026-05
2026-05-21,25356974.0,2026-05
2026-05-20,25307708.0,2026-05
2026-05-19,25318461.0,2026-05
2026-05-18,25315893.0,2026-05
2026-05-15,25311654.0,2026-05
2026-05-14,25319688.0,2026-05
2026-05-13,25317501.0,2026-05
2026-05-12,25353411.0,2026-05
2026-05-11,25398296.0,2026-05
2026-05-08,25396902.0,2026-05
2026-05-07,25391157.0,2026-05
2026-05-06,25361722.0,2026-05
2026-05-05,25372700.0,2026-05
2026-05-04,25332690.0,2026-05
2026-04-30,25242172.0,2026-04
2026-04-29,25168907.0,2026-04
2026-04-28,25050675.0,2026-04
2026-04-27,24997487.0,2026-04
2026-04-24,24975535.0,2026-04
2026-04-23,24957636.0,2026-04
2026-04-22,24970961.0,2026-04
2026-04-21,25037170.0,2026-04
2026-04-20,25089258.0,2026-04
2026-04-17,25132593.0,2026-04
2026-04-16,25174740.0,2026-04
2026-04-15,25209692.0,2026-04
2026-04-14,25277356.0,2026-04
2026-04-13,25337544.0,2026-04
2026-04-10,25357757.0,2026-04
2026-04-09,25413999.0,2026-04
2026-04-08,25478844.0,2026-04
2026-04-07,25578391.0,2026-04
2026-04-06,25680930.0,2026-04
2026-04-01,25705448.0,2026-04
2026-03-31,25686624.0,2026-03
2026-03-30,25582837.0,2026-03
2026-03-27,25544524.0,2026-03
2026-03-26,25565242.0,2026-03
2026-03-25,25571056.0,2026-03
2026-03-20,25522852.0,2026-03
2026-03-19,25471460.0,2026-03
2026-03-18,25429660.0,2026-03
2026-03-17,25430078.0,2026-03
2026-03-16,25446430.0,2026-03
2026-03-13,25437101.0,2026-03
2026-03-12,25459837.0,2026-03
2026-03-11,25462232.0,2026-03
2026-03-10,25504527.0,2026-03
2026-03-09,25528703.0,2026-03
2026-03-06,25507152.0,2026-03
2026-03-05,25514809.0,2026-03
2026-03-04,25498353.0,2026-03
2026-03-03,25533883.0,2026-03
2026-03-02,25537884.0,2026-03
2026-02-27,25525056.0,2026-02
2026-02-26,25543804.0,2026-02
2026-02-25,25559262.0,2026-02
2026-02-24,25643628.0,2026-02
2026-02-23,25714347.0,2026-02
2026-02-20,25781680.0,2026-02
2026-02-19,25836414.0,2026-02
2026-02-18,25847385.0,2026-02
2026-02-13,25858350.0,2026-02
2026-02-12,25821466.0,2026-02
2026-02-11,25777688.0,2026-02
2026-02-10,25802239.0,2026-02
2026-02-09,25796710.0,2026-02
2026-02-06,25759172.0,2026-02
