index,iso3,anio,variable,valor
0,ABW,1995,resultado_fiscal_weo,-0.834
1,ABW,1996,resultado_fiscal_weo,-2.343
2,ABW,1997,resultado_fiscal_weo,-2.102
3,ABW,1998,resultado_fiscal_weo,0.114
4,ABW,1999,resultado_fiscal_weo,0.086
5,ABW,2000,resultado_fiscal_weo,0.645
6,ABW,2001,resultado_fiscal_weo,-0.835
7,ABW,2002,resultado_fiscal_weo,-3.169
8,ABW,2003,resultado_fiscal_weo,1.896
9,ABW,2004,resultado_fiscal_weo,-8.531
10,ABW,2005,resultado_fiscal_weo,-2.957
11,ABW,2006,resultado_fiscal_weo,-2.541
12,ABW,2007,resultado_fiscal_weo,-1.046
13,ABW,2008,resultado_fiscal_weo,1.466
14,ABW,2009,resultado_fiscal_weo,-2.631
15,ABW,2010,resultado_fiscal_weo,-3.487
16,ABW,2011,resultado_fiscal_weo,-6.429
17,ABW,2012,resultado_fiscal_weo,-8.955
18,ABW,2013,resultado_fiscal_weo,-6.048
19,ABW,2014,resultado_fiscal_weo,-7.459
20,ABW,2015,resultado_fiscal_weo,-1.475
21,ABW,2016,resultado_fiscal_weo,-1.455
22,ABW,2017,resultado_fiscal_weo,-2.587
23,ABW,2018,resultado_fiscal_weo,-2.641
24,ABW,2019,resultado_fiscal_weo,-0.247
25,ABW,2020,resultado_fiscal_weo,-16.709
26,ABW,2021,resultado_fiscal_weo,-9.704
27,ABW,2022,resultado_fiscal_weo,-0.503
28,ABW,2023,resultado_fiscal_weo,2.762
29,ABW,2024,resultado_fiscal_weo,4.546
30,ABW,2025,resultado_fiscal_weo,1.26
31,ABW,2026,resultado_fiscal_weo,1.33
39,AFG,2002,resultado_fiscal_weo,-0.098
40,AFG,2003,resultado_fiscal_weo,-2.102
41,AFG,2004,resultado_fiscal_weo,-2.393
42,AFG,2005,resultado_fiscal_weo,-0.917
43,AFG,2006,resultado_fiscal_weo,0.684
44,AFG,2007,resultado_fiscal_weo,-2.462
45,AFG,2008,resultado_fiscal_weo,-3.864
46,AFG,2009,resultado_fiscal_weo,-1.761
47,AFG,2010,resultado_fiscal_weo,0.933
