iso3,anio,PIB_crec_weo,cta_corriente_weo,deuda_bruta_weo,infl_ipc_weo,resultado_fiscal_weo,resultado_primario_weo
ABW,1995,2.5,,55.095,3.413,-0.834,0.339
ABW,1996,1.257,,54.771,3.169,-2.343,-1.1
ABW,1997,7.018,,51.068,3.006,-2.102,-0.851
ABW,1998,1.989,,41.039,1.865,0.114,1.447
ABW,1999,1.371,-25.271,39.288,2.274,0.086,1.538
ABW,2000,7.684,11.345,38.613,4.074,0.645,1.885
ABW,2001,4.182,16.35,44.326,2.884,-0.835,0.554
ABW,2002,-0.945,-16.996,47.079,3.316,-3.169,-1.757
ABW,2003,1.111,-8.182,40.848,3.655,1.896,3.143
ABW,2004,7.294,12.156,42.543,2.53,-8.531,-6.404
ABW,2005,-0.383,4.908,45.093,3.397,-2.957,-0.959
ABW,2006,1.127,12.702,45.518,3.61,-2.541,-0.339
ABW,2007,3.09,9.687,44.558,5.389,-1.046,1.185
ABW,2008,1.836,0.018,40.31,8.96,1.466,4.21
ABW,2009,-11.678,6.935,48.785,-2.137,-2.631,-0.084
ABW,2010,-2.733,-18.737,54.662,2.078,-3.487,-0.597
ABW,2011,3.369,-10.02,59.347,4.375,-6.429,-3.518
ABW,2012,-1.041,3.602,65.533,0.571,-8.955,-5.738
ABW,2013,6.431,-11.957,70.032,-2.372,-6.048,-2.679
ABW,2014,-1.587,-4.797,77.709,0.423,-7.459,-3.703
ABW,2015,-0.624,3.881,74.177,0.473,-1.475,2.301
ABW,2016,1.72,4.557,75.387,-0.929,-1.455,2.625
ABW,2017,7.049,0.959,75.825,-1.028,-2.587,1.438
ABW,2018,2.382,-0.53,73.31,3.625,-2.641,1.132
ABW,2019,-2.218,0.194,72.227,3.938,-0.247,3.595
ABW,2020,-26.212,-17.099,115.655,-1.312,-16.709,-11.44
ABW,2021,24.133,-2.213,107.854,0.744,-9.704,-5.075
ABW,2022,8.518,6.48,97.369,5.522,-0.503,3.676
ABW,2023,4.264,5.234,85.178,3.363,2.762,6.808
ABW,2024,6.49,11.137,74.43,1.712,4.546,8.943
ABW,2025,2.2,9.701,71.069,1.515,1.26,5.273
ABW,2026,2.58,9.364,67.217,1.908,1.33,4.839
AFG,2002,,33.908,345.977,,-0.098,
AFG,2003,8.692,29.616,270.602,35.663,-2.102,
AFG,2004,0.671,37.216,244.967,16.358,-2.393,
AFG,2005,11.83,30.226,206.356,10.569,-0.917,-0.87
AFG,2006,5.361,20.844,22.985,6.785,0.684,0.724
AFG,2007,13.34,63.39,20.137,8.681,-2.462,-2.431
AFG,2008,3.863,33.769,19.057,26.419,-3.864,-3.845
AFG,2009,20.585,41.587,16.247,-6.811,-1.761,-1.742
AFG,2010,8.438,29.43,7.697,2.179,0.933,0.945
AFG,2011,6.479,26.574,7.501,11.804,-0.672,-0.573
AFG,2012,13.968,10.864,6.759,6.441,0.182,0.257
AFG,2013,5.683,1.444,6.904,7.386,-0.631,-0.544
AFG,2014,2.697,6.549,8.7,4.674,-1.719,-1.685
AFG,2015,0.988,3.709,9.154,-0.662,-1.378,-1.326
AFG,2016,2.164,9.029,8.437,4.384,0.127,0.192
AFG,2017,2.647,7.576,7.998,4.976,-0.673,-0.604
AFG,2018,1.189,12.143,7.384,0.626,1.634,1.694
AFG,2019,3.912,11.705,6.136,2.302,-1.058,-1.019
AFG,2020,-2.351,13.974,7.331,5.607,-2.243,-2.206
AFG,2021,-14.542,-0.056,11.136,7.762,-0.485,-0.462
AFG,2022,-6.24,-18.532,10.643,10.6,-0.997,-0.989
AFG,2023,2.267,-20.306,8.255,-7.714,-1.365,-1.194
AGO,1995,10.364,-3.621,,2672.23,,
AGO,1996,11.208,31.078,,4146.01,5.216,13.258
AGO,1997,7.274,-7.158,,221.492,-0.269,4.81
AGO,1998,4.691,-17.844,,107.429,-5.924,0.201
AGO,1999,2.181,-17.285,,248.248,-9.399,-2.876
AGO,2000,3.055,6.291,118.243,325.029,2.021,5.938
AGO,2001,4.206,-11.56,100.221,152.586,2.805,6.401
AGO,2002,13.666,-0.867,65.107,108.893,-2.245,-0.184
AGO,2003,3.49,-3.537,50.76,98.219,-4.102,-2.85
AGO,2004,11.42,2.523,41.627,43.525,1.032,2.708
AGO,2005,14.15,12.411,29.886,22.961,6.404,7.75
AGO,2006,11.84,18.225,16.726,13.305,8.415,9.547
AGO,2007,13.0,14.487,18.804,12.249,3.853,4.811
AGO,2008,10.79,7.282,28.122,12.465,-3.796,-2.141
AGO,2009,2.0,-9.267,48.448,13.721,-6.796,-5.204
AGO,2010,5.29,7.856,32.594,14.48,2.977,3.997
AGO,2011,3.59,10.422,26.318,13.484,7.195,7.998
AGO,2012,8.5,9.649,23.805,10.285,3.685,4.453
AGO,2013,4.88,5.429,29.473,8.782,-0.27,0.398
AGO,2014,4.66,-2.279,35.274,7.298,-5.069,-4.144
AGO,2015,0.76,-7.802,50.386,9.159,-2.575,-1.003
AGO,2016,-1.7,-2.688,66.67,30.694,-3.983,-1.478
AGO,2017,-0.14,-0.453,60.492,29.844,-5.747,-2.586
AGO,2018,-0.59,6.483,82.541,19.629,2.03,6.234
AGO,2019,-0.2,5.427,101.373,17.079,0.693,5.674
AGO,2020,-4.04,1.311,119.145,22.277,-1.659,4.32
AGO,2021,2.1,9.955,74.292,25.765,3.399,7.987
AGO,2022,4.22,8.258,56.108,21.36,0.584,4.055
AGO,2023,1.001,3.813,71.385,13.639,-1.875,3.55
AGO,2024,4.503,5.414,62.501,28.232,-1.018,3.94
AGO,2025,2.374,2.115,64.523,22.001,-2.306,1.259
AGO,2026,2.076,1.448,63.944,16.388,-3.298,1.092
ALB,1995,8.9,-1.945,,7.794,,
ALB,1996,9.1,-7.801,,12.734,,
ALB,1997,-10.924,-13.089,71.345,33.167,-11.762,-6.348
ALB,1998,8.829,-6.876,70.347,20.646,-9.809,-0.853
ALB,1999,12.891,-1.913,67.381,0.389,-8.737,-1.115
ALB,2000,6.946,-6.978,63.019,0.039,-7.681,-1.85
ALB,2001,8.293,-6.242,59.9,3.12,-6.757,-2.614
ALB,2002,4.537,-10.042,63.343,5.202,-6.139,-2.13
ALB,2003,5.529,-7.673,59.536,2.363,-4.947,-0.599
ALB,2004,5.515,-5.786,56.798,2.867,-5.102,-1.294
ALB,2005,5.526,-8.999,57.519,2.363,-3.417,-0.218
ALB,2006,5.903,-6.578,56.021,2.37,-3.225,-0.393
ALB,2007,5.983,-10.455,52.921,2.96,-3.142,-0.529
ALB,2008,7.5,-15.583,54.491,3.31,-4.827,-1.964
ALB,2009,3.354,-15.203,58.965,2.231,-6.509,-3.373
ALB,2010,3.707,-11.188,57.041,3.615,-3.479,-0.162
ALB,2011,2.545,-12.765,58.714,3.443,-3.475,-0.35
ALB,2012,1.418,-10.082,61.414,2.036,-3.4,-0.323
ALB,2013,1.002,-9.144,69.563,1.925,-5.154,-1.982
ALB,2014,1.774,-10.67,71.146,1.613,-5.393,-2.555
ALB,2015,2.219,-8.508,72.849,1.868,-4.267,-1.605
ALB,2016,3.315,-7.483,72.462,1.287,-1.48,0.954
ALB,2017,3.802,-7.404,71.049,1.985,-1.389,0.644
ALB,2018,4.019,-6.674,68.655,2.029,-1.601,0.603
ALB,2019,2.088,-7.482,66.575,1.411,-1.921,0.131
ALB,2020,-3.314,-8.614,75.381,1.621,-6.665,-4.588
ALB,2021,8.97,-7.633,74.795,2.043,-4.571,-2.652
ALB,2022,4.827,-5.843,65.198,6.726,-3.639,-1.796
ALB,2023,3.937,-1.217,58.365,4.769,-1.316,0.692
ALB,2024,3.962,-2.409,55.653,2.225,-0.45,1.702
ALB,2025,3.788,-3.053,54.295,2.374,-2.539,0.007
ALB,2026,3.468,-3.05,53.5,2.665,-2.552,
AND,2001,8.119,,15.774,,0.658,
AND,2002,4.546,,15.266,3.127,0.978,
AND,2003,8.694,,15.163,3.056,1.764,
AND,2004,8.136,,15.105,2.906,1.855,
AND,2005,5.398,,14.76,3.527,-0.081,
AND,2006,4.809,,17.165,3.682,-1.436,
AND,2007,1.553,,20.872,2.659,-2.828,
AND,2008,-5.559,,27.749,4.347,-3.192,
AND,2009,-5.303,,33.512,-1.217,-3.51,
AND,2010,-1.975,,35.02,1.706,-0.349,
AND,2011,-0.008,,36.493,2.552,0.405,
AND,2012,-4.974,,41.532,1.467,-1.653,
AND,2013,-3.548,,42.533,0.475,3.36,
AND,2014,2.504,,42.025,-0.096,2.143,
AND,2015,1.434,,40.955,-1.132,1.654,
AND,2016,3.71,,39.773,-0.422,4.068,
AND,2017,0.346,,37.854,2.586,3.338,
AND,2018,1.589,,36.344,0.996,2.671,
AND,2019,2.016,18.01,35.365,0.53,2.306,
AND,2020,-11.184,15.526,46.353,0.092,-1.065,
AND,2021,8.287,15.022,48.614,1.677,-1.166,
AND,2022,9.565,11.643,38.907,6.203,4.844,
AND,2023,2.584,14.221,35.467,5.607,2.148,
AND,2024,3.373,15.074,33.234,3.074,2.235,
AND,2025,1.9,16.893,31.996,2.24,1.262,
AND,2026,1.6,16.931,30.935,1.775,1.124,
ARE,1995,6.629,0.17,,4.33,3.583,3.586
ARE,1996,5.399,5.973,,2.976,0.917,0.924
ARE,1997,8.567,11.26,,2.966,6.711,6.712
ARE,1998,0.878,3.943,,1.994,0.996,0.997
ARE,1999,3.83,6.448,4.727,2.1,1.306,1.307
ARE,2000,12.322,16.307,3.12,1.348,10.66,10.728
ARE,2001,1.399,9.072,2.69,2.8,1.205,1.298
ARE,2002,2.433,3.316,3.427,2.918,-1.238,-1.21
ARE,2003,8.801,5.783,3.332,3.119,2.352,2.356
ARE,2004,9.566,6.43,4.08,5.041,6.4,6.456
ARE,2005,4.855,13.165,4.482,6.195,15.987,16.024
ARE,2006,9.837,17.315,5.052,9.285,20.15,20.151
ARE,2007,3.184,7.631,8.892,11.128,17.126,17.133
ARE,2008,3.192,7.059,8.949,12.258,17.638,17.671
ARE,2009,-5.243,3.095,21.136,-4.725,-6.127,-5.95
ARE,2010,5.284,4.063,18.799,0.879,0.532,0.847
ARE,2011,6.216,12.06,20.862,0.876,5.166,5.345
ARE,2012,1.824,19.006,20.657,0.663,8.771,9.077
ARE,2013,5.056,18.293,15.611,1.104,8.183,8.585
ARE,2014,4.166,13.159,13.819,2.346,1.789,2.057
ARE,2015,6.787,4.74,16.104,4.068,-6.555,-6.35
ARE,2016,5.561,3.575,19.267,1.619,-3.051,-2.905
