fecha,vivienda_real,credito_pib
1955Q4,,76.0
1956Q1,,76.0
1956Q2,,78.7
1956Q3,,77.1
1956Q4,,76.4
1957Q1,,73.6
1957Q2,,74.0
1957Q3,,73.3
1957Q4,,73.8
1958Q1,,72.4
1958Q2,,71.2
1958Q3,,71.1
1958Q4,,73.2
1959Q1,,74.4
1959Q2,,78.3
1959Q3,,81.7
1959Q4,,80.0
1960Q1,,77.0
1960Q2,,77.8
1960Q3,,76.9
1960Q4,,78.8
1961Q1,,76.7
1961Q2,,77.4
1961Q3,,77.8
1961Q4,,79.6
1962Q1,,78.1
1962Q2,,82.3
1962Q3,,83.1
1962Q4,,80.4
1963Q1,,77.4
1963Q2,,78.3
1963Q3,,77.5
1963Q4,,78.5
1964Q1,,77.1
1964Q2,,79.4
1964Q3,,79.0
1964Q4,,80.1
1965Q1,,79.5
1965Q2,,83.0
1965Q3,,84.4
1965Q4,,86.0
1966Q1,,82.6
1966Q2,,82.7
1966Q3,,81.4
1966Q4,,81.3
1967Q1,,81.2
1967Q2,,81.2
1967Q3,,83.2
1967Q4,,85.9
1968Q1,,86.2
1968Q2,,87.3
1968Q3,,87.8
1968Q4,,89.9
1969Q1,,84.3
1969Q2,,85.8
1969Q3,,86.2
1969Q4,,86.6
1970Q1,38.156,85.1
1970Q2,37.968,84.9
1970Q3,37.9694,85.5
1970Q4,39.2483,86.2
1971Q1,39.3671,86.6
1971Q2,39.3207,87.8
1971Q3,38.4867,89.0
1971Q4,40.191,89.9
1972Q1,40.5548,90.1
1972Q2,40.1811,91.1
1972Q3,39.9087,92.2
1972Q4,41.4609,93.3
1973Q1,42.8286,93.5
1973Q2,44.0957,94.8
1973Q3,45.9932,94.8
1973Q4,49.458,95.4
1974Q1,53.4329,95.2
1974Q2,53.9581,96.3
1974Q3,51.9224,96.3
1974Q4,50.5824,96.7
1975Q1,52.3001,97.3
1975Q2,52.7495,98.6
1975Q3,52.6966,99.1
1975Q4,53.7604,99.6
1976Q1,55.2735,99.4
1976Q2,55.1155,99.3
1976Q3,54.3968,99.7
1976Q4,55.6545,100.5
1977Q1,55.0012,102.0
1977Q2,53.8157,104.0
1977Q3,52.5208,105.3
1977Q4,52.9268,106.1
1978Q1,51.7007,107.2
1978Q2,51.9882,108.2
1978Q3,50.6426,109.2
1978Q4,52.1497,110.5
1979Q1,52.7986,112.0
1979Q2,52.5003,113.4
1979Q3,51.268,114.4
1979Q4,52.3275,114.7
1980Q1,51.965,115.1
1980Q2,52.6186,116.2
1980Q3,53.2653,116.5
1980Q4,55.1131,117.4
1981Q1,55.3253,118.1
1981Q2,54.1514,119.9
1981Q3,53.9099,121.1
1981Q4,53.3701,120.0
1982Q1,49.9413,120.0
1982Q2,46.411,119.7
1982Q3,44.5808,118.7
1982Q4,44.8439,116.7
1983Q1,47.5729,115.2
1983Q2,46.9129,113.3
1983Q3,45.5781,111.3
1983Q4,45.3283,109.2
1984Q1,44.7537,108.6
1984Q2,44.6375,107.8
1984Q3,43.452,106.9
1984Q4,43.657,106.1
1985Q1,44.0698,106.5
1985Q2,44.5679,106.2
1985Q3,44.3632,107.6
1985Q4,45.8828,107.8
1986Q1,47.9293,108.3
1986Q2,49.934,109.8
1986Q3,50.1968,110.6
1986Q4,53.121,111.8
1987Q1,57.0545,112.1
1987Q2,55.5708,114.1
1987Q3,54.9799,114.5
1987Q4,57.601,115.3
1988Q1,62.3947,116.7
1988Q2,62.9174,118.0
1988Q3,62.8652,120.0
1988Q4,67.4448,121.3
1989Q1,73.3049,122.6
1989Q2,65.8445,124.3
1989Q3,66.4438,126.3
1989Q4,69.7538,128.7
1990Q1,67.5298,130.8
1990Q2,62.4174,132.2
1990Q3,62.1389,133.7
1990Q4,61.7217,134.8
1991Q1,62.8896,136.7
1991Q2,64.6496,138.1
1991Q3,60.6447,139.3
1991Q4,61.4754,141.1
1992Q1,62.246,141.2
1992Q2,62.4045,142.6
