,ipc,dinero,produccion,tasa_corta,tasa_larga,acciones,tipo_cambio
1970-01,,318600000000.0,,,7.752553,,
1970-02,,320700000000.0,,,7.903703,,
1970-03,,322000000000.0,,,8.112339999999998,,
1970-04,,324400000000.0,,,8.072667,,
1970-05,,327200000000.0,,,8.243204999999998,,
1970-06,,331900000000.0,,,8.447445,,
1970-07,,336800000000.0,,,8.350388,,
1970-08,,338900000000.0,,,8.39389,,
1970-09,,341100000000.0,,,8.409962999999998,,
1970-10,,344100000000.0,,,8.426636999999998,,
1970-11,,347300000000.0,,,8.373195,,
1970-12,,346500000000.0,,,8.222965999999998,,
1971-01,,351900000000.0,,,7.905951,,
1971-02,,355500000000.0,,,7.830704,,
1971-03,,359800000000.0,,,7.845215999999998,,
1971-04,,365400000000.0,,,7.856378999999999,,
1971-05,,370500000000.0,,,7.89686,,
1971-06,,373700000000.0,,,8.039046,,
1971-07,,378400000000.0,,,8.069148,,
1971-08,,381600000000.0,,,8.016785,,
1971-09,,386400000000.0,,,7.995011,,
1971-10,,390400000000.0,,,7.902784999999999,,
1971-11,,394100000000.0,,,7.845936,,
1971-12,,398200000000.0,,,7.789369,,
1972-01,,403000000000.0,,,7.678324,,
1972-02,,407700000000.0,,,7.557992999999998,,
1972-03,,412400000000.0,,,7.526637,,
1972-04,,416600000000.0,,,7.582169,,
1972-05,,421000000000.0,,,7.50905,,
1972-06,,431800000000.0,,,7.557907,,
1972-07,,437200000000.0,,,7.582334999999999,,
1972-08,,442700000000.0,,,7.577326,,
1972-09,,448500000000.0,,,7.588698,,
1972-10,,452600000000.0,,,7.696853,,
1972-11,,458400000000.0,,,7.810791,,
1972-12,,462000000000.0,,,7.936406,,
1973-01,,465300000000.0,,,8.004867,,
1973-02,,470300000000.0,,,7.935751,,
1973-03,,477500000000.0,,,7.986922,,
1973-04,,482100000000.0,,,8.06778,,
1973-05,,489100000000.0,,,8.360784,,
1973-06,,494100000000.0,,,8.486979,,
1973-07,,497500000000.0,,,8.539714,,
1973-08,,503400000000.0,,,8.591274,,
1973-09,,507700000000.0,,,8.67481,,
1973-10,,513600000000.0,,,8.612548,,
1973-11,,518600000000.0,,,8.681376,,
1973-12,,524400000000.0,,,8.853853,,
1974-01,,530600000000.0,,,9.028589,,
1974-02,,536500000000.0,,,9.398973,,
1974-03,,540800000000.0,,,9.593311000000002,,
1974-04,,547500000000.0,,,9.711231,,
1974-05,,552100000000.0,,,10.00017,,
1974-06,,556200000000.0,,,10.48198,,
1974-07,,562100000000.0,,,10.62748,,
1974-08,,566100000000.0,,,10.72116,,
1974-09,,570600000000.0,,,10.74501,,
1974-10,,575800000000.0,,,10.71857,,
1974-11,,582800000000.0,,,10.49011,,
1974-12,,589100000000.0,,,10.55281,,
1975-01,,595900000000.0,,,10.08654,,
1975-02,,601800000000.0,,,9.880766,,
1975-03,,605700000000.0,,,9.72824,,
1975-04,,609900000000.0,,,9.734974,,
1975-05,,615600000000.0,,,9.518357,,
1975-06,,623500000000.0,,,9.441504,,
1975-07,,632800000000.0,,,9.335235,,
1975-08,,640200000000.0,,,9.432022000000002,,
1975-09,,648900000000.0,,,9.557984,,
1975-10,,658000000000.0,,,9.38034,,
1975-11,,664000000000.0,,,9.240782,,
1975-12,,674400000000.0,,,9.241016,,
1976-01,,681800000000.0,,,9.362705,,
