fecha,ipc,dinero,produccion,tasa_corta,tasa_larga,acciones,tipo_cambio,salario
1948-01,,,28.22538,,,,,
1948-02,,,28.22538,,,,,
1948-03,,,28.22538,,,,,
1948-04,,,28.12006,,,,,
1948-05,,,28.22538,,,,,
1948-06,,,28.43602,,,,,
1948-07,,,28.75197,,,,,
1948-08,,,29.06793,,,,,
1948-09,,,29.17325,,,,,
1948-10,,,29.27857,,,,,
1948-11,,,29.27857,,,,,
1948-12,,,29.38389,,,,,
1949-01,,,29.59452,,,,,
1949-02,,,29.80516,,,,,
1949-03,,,30.0158,,,,,
1949-04,,,30.22643,,,,,
1949-05,,,30.43707,,,,,
1949-06,,,30.64771,,,,,
1949-07,,,30.96367,,,,,
1949-08,,,31.06898,,,,,
1949-09,,,31.1743,,,,,
1949-10,,,31.06898,,,,,
1949-11,,,31.06898,,,,,
1949-12,,,31.1743,,,,,
1950-01,,,31.38494,,,,,
1950-02,,,31.59558,,,,,
1950-03,,,31.91153,,,,,
1950-04,,,32.22749,,,,,
1950-05,,,32.54345,,,,,
1950-06,,,32.96472,,,,,
1950-07,,,33.28067,,,,,
1950-08,,,33.49131,,,,,
1950-09,,,33.38599,,,,,
1950-10,,,33.28067,,,,,
1950-11,,,33.28067,,,,,
1950-12,,,33.28067,,,,,
1951-01,,,33.38599,,,,,
1951-02,,,33.49131,,,,,
1951-03,,,33.28067,,,,,
1951-04,,,33.07004,,,,,
1951-05,,,33.28067,,,,,
1951-06,,,33.80727,,,,,
1951-07,,,34.5445,,,,,
1951-08,,,34.86045,,,,,
1951-09,,,34.75513,,,,,
1951-10,,,34.12322,,,,,
1951-11,,,33.49131,,,,,
1951-12,,,33.17535,,,,,
1952-01,,,32.96472,,,,,
1952-02,,,32.75408,,,,,
1952-03,,,32.54345,,,,,
1952-04,,,32.33281,,,,,
1952-05,,,32.01685,,,,,
1952-06,,,31.80621,,,,,
1952-07,,,31.59558,,,,,
1952-08,,,31.80621,,,,,
1952-09,,,32.12217,,,,,
1952-10,,,32.75408,,,,,
1952-11,,,33.28067,,,,,
1952-12,,,33.49131,,,,,
1953-01,,,33.70195,,,,,
1953-02,,,33.80727,,,,,
1953-03,,,33.91259,,,,,
1953-04,,,34.12322,,,,,
1953-05,,,34.12322,,,,,
1953-06,,,34.0179,,,,,
1953-07,,,33.91259,,,,,
1953-08,,,34.12322,,,,,
1953-09,,,34.75513,,,,,
1953-10,,,35.59768,,,,,
1953-11,,,36.12428,,,,,
1953-12,,,36.01896,,,,,
1954-01,,,35.703,,,,,
1954-02,,,35.38705,,,,,
1954-03,,,35.49236,,,,,
1954-04,,,35.80832,,,,,
1954-05,,,36.12428,,,,,
1954-06,,,36.2296,,,,,
1954-07,,,36.33491,,,,,
1954-08,,,36.44023,,,,,
1954-09,,,36.54555,,,,,
1954-10,,,36.86151,,,,,
1954-11,,,37.17746,,,,,
1954-12,,,37.49342,,,,,
1955-01,4.859513,,37.70406,,,,,
1955-02,4.859513,,37.91469,,,,,
1955-03,4.859513,,38.02001,,,,,
1955-04,4.885972,,38.02001,,,,,
1955-05,4.877152,,38.02001,,,,,
1955-06,4.978576,,37.91469,,,,,
1955-07,4.996214,,37.91469,,,,,
1955-08,4.960937,,38.12533,,,,,
1955-09,4.991805,,38.5466,,,,,
1955-10,5.044722,,38.96788,,,,,
1955-11,5.124096,,39.17852,,,,,
