fecha,vivienda_real,credito_pib
1963Q1,,55.4
1963Q2,,54.7
1963Q3,,53.8
1963Q4,,52.7
1964Q1,,60.0
1964Q2,,58.7
1964Q3,,57.4
1964Q4,,56.2
1965Q1,,62.7
1965Q2,,61.7
1965Q3,,60.4
1965Q4,,59.4
1966Q1,,58.5
1966Q2,,57.4
1966Q3,,63.5
1966Q4,,62.4
1967Q1,,61.3
1967Q2,,60.3
1967Q3,,63.4
1967Q4,,62.8
1968Q1,,61.5
1968Q2,22.4852,64.2
1968Q3,23.0404,62.6
1968Q4,22.7669,60.6
1969Q1,22.3686,59.5
1969Q2,22.5782,61.7
1969Q3,22.5782,60.5
1969Q4,22.7808,59.4
1970Q1,22.4021,58.0
1970Q2,21.8572,59.4
1970Q3,22.7323,57.5
1970Q4,22.2563,58.6
1971Q1,22.2175,56.9
1971Q2,22.0164,55.2
1971Q3,23.0962,56.2
1971Q4,23.8692,57.1
1972Q1,25.0013,60.6
1972Q2,26.8804,61.3
1972Q3,30.2307,64.7
1972Q4,31.7957,65.0
1973Q1,35.0153,64.2
1973Q2,35.5857,66.3
1973Q3,37.1526,65.9
1973Q4,36.1535,63.9
1974Q1,35.2959,65.0
1974Q2,33.4212,64.8
1974Q3,33.0149,64.1
1974Q4,31.9021,61.3
1975Q1,30.6332,59.5
1975Q2,28.7833,59.3
1975Q3,28.4791,56.5
1975Q4,27.8205,57.9
1976Q1,27.5557,57.7
1976Q2,27.3978,57.2
1976Q3,27.2985,57.4
1976Q4,26.6431,58.3
1977Q1,25.4994,56.3
1977Q2,24.939,56.5
1977Q3,25.1831,55.9
1977Q4,25.7525,56.0
1978Q1,25.8652,55.9
1978Q2,26.5132,56.4
1978Q3,27.8041,55.6
1978Q4,29.474,55.5
1979Q1,30.2661,56.2
1979Q2,31.7191,56.7
1979Q3,32.161,56.2
1979Q4,33.2873,55.6
1980Q1,33.7363,56.8
1980Q2,33.1916,57.1
1980Q3,33.795,56.8
1980Q4,33.3522,56.7
1981Q1,32.543,56.5
1981Q2,31.9136,56.5
1981Q3,31.7888,58.0
1981Q4,30.6135,60.6
1982Q1,29.5418,61.0
1982Q2,29.8007,63.1
1982Q3,30.3091,63.9
1982Q4,30.3591,65.5
1983Q1,31.0843,66.4
1983Q2,31.6272,67.4
1983Q3,32.5969,67.7
1983Q4,32.4895,68.3
1984Q1,32.6668,70.5
1984Q2,32.981,72.3
1984Q3,34.0785,73.3
1984Q4,34.2286,75.8
1985Q1,33.8829,77.3
1985Q2,34.2402,76.3
1985Q3,34.86,77.8
1985Q4,35.7687,77.1
1986Q1,36.3567,79.8
1986Q2,37.4374,81.1
1986Q3,38.9169,81.7
1986Q4,39.7446,84.5
1987Q1,40.6258,86.3
1987Q2,41.9247,87.1
1987Q3,43.9109,88.4
1987Q4,46.0931,88.2
1988Q1,47.8229,90.6
1988Q2,49.7582,94.2
1988Q3,55.854,96.9
1988Q4,58.6518,98.1
1989Q1,59.3094,101.0
1989Q2,60.0922,103.6
1989Q3,61.7694,105.8
1989Q4,59.6248,106.7
1990Q1,57.686,112.2
1990Q2,55.4711,113.7
1990Q3,55.642,113.4
1990Q4,53.7632,114.3
1991Q1,52.8275,115.0
1991Q2,50.3691,116.7
1991Q3,50.8766,115.9
1991Q4,49.913,114.4
1992Q1,48.9364,113.6
1992Q2,46.8502,112.6
1992Q3,47.0971,112.0
1992Q4,45.0021,115.4
1993Q1,45.211,112.9
1993Q2,44.6809,112.2
1993Q3,45.5559,112.4
1993Q4,44.6032,113.9
1994Q1,45.0347,111.8
1994Q2,44.9705,109.3
1994Q3,45.8391,109.2
1994Q4,45.3946,110.5
1995Q1,44.6225,109.5
1995Q2,44.4852,110.1
1995Q3,44.7979,109.5
1995Q4,43.9394,111.6
1996Q1,44.3374,108.8
1996Q2,43.9222,109.3
1996Q3,45.6036,109.0
1996Q4,46.0974,108.3
1997Q1,46.7203,107.8
1997Q2,47.2236,109.6
1997Q3,49.4273,111.6
1997Q4,48.8649,111.4
1998Q1,50.1831,112.9
1998Q2,52.296,114.5
1998Q3,54.5952,118.4
1998Q4,53.9888,119.5
1999Q1,54.3911,122.6
1999Q2,56.1057,125.3
1999Q3,59.5301,126.3
1999Q4,60.8495,128.3
2000Q1,62.6002,129.7
2000Q2,65.4699,133.0
2000Q3,66.793,134.7
2000Q4,68.2863,135.5
2001Q1,68.3648,139.1
2001Q2,69.7913,140.0
2001Q3,72.246,141.3
2001Q4,70.7516,143.8
2002Q1,73.1235,145.9
2002Q2,78.4119,148.4
2002Q3,83.6274,153.8
2002Q4,87.2864,154.0
2003Q1,88.8708,151.7
2003Q2,91.0411,154.1
2003Q3,93.3812,154.5
2003Q4,94.767,154.1
2004Q1,95.7034,153.7
2004Q2,100.5703,154.1
2004Q3,104.9708,156.6
2004Q4,104.9453,157.6
2005Q1,102.6092,158.3
2005Q2,104.4599,162.0
2005Q3,106.582,163.8
2005Q4,106.2747,165.1
2006Q1,107.075,165.9
2006Q2,109.5565,168.2
2006Q3,112.2072,171.5
2006Q4,113.5805,171.5
2007Q1,115.0923,170.0
2007Q2,118.3291,170.6
2007Q3,121.7,173.9
2007Q4,120.4231,175.2
2008Q1,116.5328,178.1
2008Q2,113.534,177.6
2008Q3,107.8233,178.3
2008Q4,100.587,184.3
2009Q1,95.7192,183.9
2009Q2,95.8899,180.5
2009Q3,99.0275,184.1
2009Q4,100.1791,184.0
2010Q1,99.7592,185.2
2010Q2,100.3242,181.4
2010Q3,101.5186,180.9
2010Q4,98.4106,176.2
