fecha,ipc,dinero,produccion,tasa_corta,tasa_larga,acciones,tipo_cambio
1992-01,0.01043353,,,,,,
1992-02,0.01439827,,,,,,
1992-03,0.01870336,,,,,,
1992-04,0.02276199,,,,,,
1992-05,0.02547066,,,,,,
1992-06,0.03033556,,,,,,0.138
1992-07,0.03355113,,,,,,0.168
1992-08,0.03643652,,,,,,0.217
1992-09,0.04062672,,,,,,0.344
1992-10,0.04993024,,,,,,0.424
1992-11,0.06296204,,,,,,0.415
1992-12,0.07882847,,,,,,0.462
1993-01,0.09916621,,77.43344,,,,0.568
1993-02,0.1236603,,82.29163,,,,0.659
1993-03,0.148516,,83.58012,,,,0.756
1993-04,0.1762884999999999,,82.17934,,,,0.893
1993-05,0.2081967,,82.1729,,,,1.08
1993-06,0.2496277999999999,,80.7244,,,,1.03
1993-07,0.3055445,,77.78948,,,,1.012562491
1993-08,0.3849859999999999,,75.16035,,,,0.985590921045455
1993-09,0.4735327999999999,,73.91707,,,,1.07272728204545
1993-10,0.5658716999999999,,73.4847,,,,1.18769999145
1993-11,0.6586747,,71.09534,,,,1.19445452909091
1993-12,0.741009,,66.72572,,,,1.23947057294118
1994-01,0.8736495999999999,,60.63821,,,,1.438277781
1994-02,0.9681785,,63.10467,,,,1.58499999172222
1994-03,1.039921,,61.57766,,,,1.720999986
1994-04,1.12821,,60.67764,,,,1.79474999305
1994-05,1.206169,,59.54931,,,,1.88023529341176
1994-06,1.278539,,59.10572,,,,1.96149999561111
1994-07,1.346685,,58.47025,,,,2.0272499979
1994-08,1.408902,,59.24375,,,,2.12173913878261
1994-09,1.521051,,58.44954,,,,2.34581816195455
1994-10,1.749208,,59.47009,,,,3.03300003435294
1994-11,2.004768,,60.37217,,,,3.1539000034
1994-12,2.334352,,60.72083,,,,3.38640002005
1995-01,2.749166,,60.18222,,,,3.84511763911765
1995-02,3.052124,,60.42654,,,,4.2604999781
1995-03,3.324984,,58.06783,,,,4.74868184868182
1995-04,3.60661,,56.97062,,,,5.02278945310526
1995-05,3.892614,,59.55938,,,,5.06115790410526
1995-06,4.151862,210028668200.0,59.74187,,,,4.71474997995
1995-07,4.375233000000001,207763306800.0,59.9679,,,,4.51973689231579
1995-08,4.574743,220241078300.0,59.46846,,,,4.41630440165217
1995-09,4.778777,234086899400.0,58.99982,,,,4.47478951915789
1995-10,5.004335,240128083100.0,58.35144,,,,4.50165004745
1995-11,5.232533,248145974500.0,56.76535,,,,4.54388231382353
1995-12,5.399973999999999,256094110100.00003,56.37647,,,,4.61664288378571
1996-01,5.621912,267676935400.0,56.46845,,,,4.68999998184211
1996-02,5.778764,278786686700.0,55.5899,,,,4.76538097290476
1996-03,5.940569,287061301400.0,56.28589,,,,4.83559999475
1996-04,6.068886,295062445900.0,56.61551,,,,4.90585719961905
1996-05,6.165988,300440241000.0,56.68024,,,,4.991000043
1996-06,6.23813,308706096100.0,56.53387,,,,5.05958826388235
1996-07,6.283044,320192982300.0,56.2952,,,,5.15188890038889
1996-08,6.26985,329768606200.0,56.22086,,,,5.2949000121
1996-09,6.290541,336419365300.0,56.50652,,,,5.3698999883
1996-10,6.366027,341016247700.0,56.27552,,,,5.431347847
1996-11,6.485708,347309283000.0,55.80418,,,,5.48166669738889
1996-12,6.577806,352601744100.0,54.9058,,,,5.52853852023077
1997-01,6.731725999999999,346621768400.0,55.92465,34.9,,,5.59927776133333
1997-02,6.835394,361694534600.0,58.44716,33.1,,,5.65214283107143
1997-03,6.933141,369260053700.0,56.35838,30.6,,,5.7034666698
1997-04,6.999699000000001,378170188100.0,56.22702,28.9,,,5.74733333593333
1997-05,7.065496,389875471800.0,57.31446,30.4,,,5.769666592
