fecha,vivienda_real,credito_pib
1995Q2,,22.5
1995Q3,,20.1
1995Q4,,18.4
1996Q1,,17.1
1996Q2,,17.1
1996Q3,,14.9
1996Q4,,15.8
1997Q1,,15.9
1997Q2,,17.5
1997Q3,,18.5
1997Q4,,19.1
1998Q1,,19.3
1998Q2,,20.3
1998Q3,,30.4
1998Q4,,33.8
1999Q1,,32.5
1999Q2,,28.1
1999Q3,,25.9
1999Q4,,25.6
2000Q1,,23.4
2000Q2,,22.2
2000Q3,,22.5
2000Q4,,23.7
2001Q1,34.9443,22.3
2001Q2,34.9994,23.3
2001Q3,36.7184,24.7
2001Q4,39.0206,26.3
2002Q1,39.7923,26.1
2002Q2,41.129,28.2
2002Q3,42.5727,28.9
2002Q4,43.2173,29.7
2003Q1,44.0181,31.3
2003Q2,43.9647,32.1
2003Q3,45.2821,34.2
2003Q4,46.4162,34.9
2004Q1,49.8843,37.4
2004Q2,51.3486,37.4
2004Q3,52.6266,37.2
2004Q4,53.3664,38.9
2005Q1,55.4741,35.6
2005Q2,55.3353,35.5
2005Q3,56.8652,39.2
2005Q4,59.2754,44.6
2006Q1,65.6798,43.8
2006Q2,70.7032,44.8
2006Q3,80.0548,44.7
2006Q4,89.7713,48.2
2007Q1,99.3765,49.3
2007Q2,100.6498,56.7
2007Q3,102.4334,59.7
2007Q4,103.8981,59.8
2008Q1,109.8381,61.3
2008Q2,110.8672,61.4
2008Q3,113.1404,62.1
2008Q4,109.3202,65.5
2009Q1,106.8099,70.5
2009Q2,99.0476,67.6
2009Q3,95.3373,70.0
2009Q4,93.7268,70.4
2010Q1,101.6916,65.7
2010Q2,100.5569,65.1
2010Q3,99.5132,64.7
2010Q4,98.3305,63.1
2011Q1,72.6385,60.1
2011Q2,72.3559,59.9
2011Q3,72.99,62.7
2011Q4,74.1185,63.7
2012Q1,78.6479,63.0
2012Q2,79.6741,66.2
2012Q3,80.0997,68.1
2012Q4,81.2636,69.5
2013Q1,78.3961,71.8
2013Q2,78.0333,75.6
2013Q3,77.2286,79.1
2013Q4,76.5472,81.6
2014Q1,74.3407,84.2
2014Q2,73.348,85.3
2014Q3,72.8418,88.7
2014Q4,71.8413,98.2
2015Q1,67.1665,98.7
2015Q2,65.22,96.5
2015Q3,63.079,101.9
2015Q4,60.8107,103.9
2016Q1,58.431,102.6
2016Q2,57.0877,100.3
2016Q3,55.9319,100.4
2016Q4,55.1516,99.6
2017Q1,53.5263,96.8
2017Q2,52.758,97.9
2017Q3,52.1967,98.7
2017Q4,52.1435,99.3
2018Q1,52.4785,98.2
2018Q2,52.3306,98.7
2018Q3,52.282,98.1
2018Q4,52.6711,98.1
2019Q1,53.52,96.0
2019Q2,53.2881,95.1
2019Q3,54.1946,96.9
2019Q4,54.2619,98.7
2020Q1,55.9796,105.4
2020Q2,55.8535,107.7
2020Q3,57.3727,113.9
2020Q4,59.2185,114.9
2021Q1,58.9033,112.4
2021Q2,60.2644,106.6
2021Q3,61.5081,103.9
2021Q4,62.8475,99.6
2022Q1,69.9602,97.4
2022Q2,66.7007,87.2
2022Q3,68.2436,87.9
2022Q4,68.9329,91.9
2023Q1,65.1438,95.4
2023Q2,65.4736,97.7
2023Q3,66.034,100.1
2023Q4,66.3919,99.6
2024Q1,72.0088,98.5
2024Q2,72.1296,97.4
2024Q3,71.3483,99.5
2024Q4,71.3369,100.2
2025Q1,76.5422,98.8
2025Q2,76.3463,101.2
2025Q3,76.4252,103.5
2025Q4,76.4414,106.1
2026Q1,82.1895,
