fecha,vivienda_real,credito_pib
1986Q1,,14.9
1986Q2,,16.0
1986Q3,,16.0
1986Q4,,17.8
1987Q1,,17.9
1987Q2,,17.8
1987Q3,,17.9
1987Q4,,19.2
1988Q1,,18.3
1988Q2,,16.6
1988Q3,,16.4
1988Q4,,17.4
1989Q1,,16.7
1989Q2,,15.6
1989Q3,,14.7
1989Q4,,15.5
1990Q1,,15.1
1990Q2,,15.2
1990Q3,,15.4
1990Q4,,16.5
1991Q1,,16.2
1991Q2,,16.3
1991Q3,,16.2
1991Q4,,17.3
1992Q1,,16.7
1992Q2,,17.2
1992Q3,,16.8
1992Q4,,17.7
1993Q1,,18.2
1993Q2,,18.7
1993Q3,,18.5
1993Q4,,19.1
1994Q1,,21.3
1994Q2,,20.8
1994Q3,,18.5
1994Q4,,19.0
1995Q1,,17.8
1995Q2,,16.4
1995Q3,,16.3
1995Q4,,19.3
1996Q1,,19.9
1996Q2,,20.3
1996Q3,,21.0
1996Q4,,23.7
1997Q1,,24.2
1997Q2,,25.8
1997Q3,,25.6
1997Q4,,28.5
1998Q1,,27.6
1998Q2,,28.2
1998Q3,,25.4
1998Q4,,25.8
1999Q1,,25.7
1999Q2,,25.4
1999Q3,,25.7
1999Q4,,25.6
2000Q1,,25.1
2000Q2,,25.4
2000Q3,,26.2
2000Q4,,25.8
2001Q1,,29.5
2001Q2,,29.2
2001Q3,,31.3
2001Q4,,27.6
2002Q1,,24.1
2002Q2,,23.1
2002Q3,,22.7
2002Q4,,21.9
2003Q1,,22.2
2003Q2,,19.1
2003Q3,,19.2
2003Q4,,20.0
2004Q1,,20.7
2004Q2,,23.5
2004Q3,,23.2
2004Q4,,22.1
2005Q1,,22.4
2005Q2,,23.4
2005Q3,,24.1
2005Q4,,29.1
2006Q1,,31.3
2006Q2,,35.9
2006Q3,,35.4
2006Q4,,35.8
2007Q1,,35.2
2007Q2,,36.7
2007Q3,,38.4
2007Q4,,40.6
2008Q1,,44.4
2008Q2,,45.5
2008Q3,,46.4
2008Q4,,47.3
2009Q1,,47.2
2009Q2,,46.7
2009Q3,,47.9
2009Q4,,49.0
2010Q1,98.667,50.0
2010Q2,99.5758,52.8
2010Q3,101.303,52.9
2010Q4,100.4339,55.9
2011Q1,102.3472,57.6
2011Q2,102.6424,61.0
2011Q3,103.4895,61.9
2011Q4,100.3786,61.1
2012Q1,101.8611,60.5
2012Q2,103.5139,61.7
2012Q3,106.4763,61.5
2012Q4,104.4463,62.6
2013Q1,105.3111,63.5
2013Q2,107.501,67.9
2013Q3,109.4455,70.2
2013Q4,109.218,71.5
2014Q1,109.0294,70.9
2014Q2,109.8643,71.7
2014Q3,112.9886,73.5
2014Q4,113.9361,74.5
2015Q1,116.9929,77.1
2015Q2,118.8821,79.4
2015Q3,121.5902,81.9
2015Q4,121.8402,79.5
2016Q1,123.1461,78.4
2016Q2,125.3962,79.2
2016Q3,126.6356,80.4
2016Q4,126.4647,84.6
2017Q1,125.0527,84.7
2017Q2,125.6672,84.6
2017Q3,126.0323,83.2
2017Q4,123.5408,84.1
2018Q1,122.6243,84.2
2018Q2,120.7603,86.6
2018Q3,113.9486,93.5
2018Q4,107.8824,82.5
2019Q1,106.4432,83.5
2019Q2,104.9626,81.9
2019Q3,105.1617,79.1
2019Q4,105.4104,79.6
2020Q1,109.111,82.2
2020Q2,112.4418,90.4
2020Q3,120.9069,93.6
2020Q4,121.9675,88.2
2021Q1,124.1048,88.1
2021Q2,128.975,82.8
2021Q3,135.1324,78.8
2021Q4,144.6049,87.5
2022Q1,154.1239,84.3
2022Q2,180.2468,77.6
2022Q3,209.3029,70.2
2022Q4,220.5002,65.1
2023Q1,242.3538,61.9
2023Q2,263.7019,65.0
2023Q3,259.6315,59.7
2023Q4,253.7517,56.5
2024Q1,237.2817,53.4
2024Q2,229.125,49.7
2024Q3,224.5586,48.6
2024Q4,222.4345,46.8
2025Q1,223.9207,48.0
2025Q2,223.3508,48.9
2025Q3,222.6666,48.9
2025Q4,220.7756,49.0
2026Q1,216.5682,
