sección,ítem,texto,código,estado
5.1,β impulso monetario (en la media),0.0822,0.0822,OK
5.1,β interacción,0.0109,0.0109,OK
5.1,N,3054.0,3054.0,OK
5.1,efecto marginal en 0%,-0.005,-0.0046,OK
5.1,efecto marginal en 5%,0.05,0.0497,OK
5.1,efecto marginal en 20%,0.213,0.2125,OK
5.1,efecto marginal en 50%,0.538,0.5382,OK
5.1,efecto marginal en 100%,1.081,1.081,OK
5.1,IC inferior en 100%,0.641,0.6408,OK
5.1,IC superior en 100%,1.521,1.5213,OK
5.1 régimen,"β impulso, baja",0.0084,0.0084,OK
5.1 régimen,"N, baja",1749.0,1749.0,OK
5.1 régimen,"β impulso, moderada",0.0144,0.0144,OK
5.1 régimen,"N, moderada",1177.0,1177.0,OK
5.1 régimen,"β impulso, alta",0.8976,0.8976,OK
5.1 régimen,"N, alta",128.0,128.0,OK
5.2,interacción con inflación rezagada,0.0095,0.0095,OK
5.2,sin casos extremos: interacción,0.0087,0.0087,OK
5.2,sin casos extremos: estadístico t,5.81,5.8099,OK
5.2,"winsorizado, definición principal",0.0316,0.0316,OK
5.2,"winsorizado, M2 nominal",0.0315,0.0315,OK
5.2,"winsorizado, crédito privado",0.0182,0.0182,OK
5.1 largo plazo,"multiplicador, completa",0.5,0.4982,OK
5.1 largo plazo,"multiplicador, baja",0.03,0.031,OK
5.1 largo plazo,"multiplicador, moderada",0.05,0.054,OK
5.1 largo plazo,"multiplicador, alta",1.0,0.9997,OK
8.1,déficit × deuda alta (umbral 60%),-0.206,-0.206,OK
8.1,tasa real × deuda alta,-0.7284,-0.7284,OK
8.1,efecto total bajo deuda alta,-0.9252,-0.9252,OK
8.1 moneda,validación: depreciación × fracción en dólares,0.179,0.1793,OK
8.1 moneda,déficit × fracción en pesos (flujo),-0.084,-0.084,OK
8.1 moneda,deuda en moneda local,0.0818,0.0818,OK
8.1 moneda,deuda en moneda extranjera,0.0293,0.0293,OK
8.1 moneda,diferencia,0.0525,0.0525,OK
5.3,base_monetaria: respuesta a la expectativa,-0.37,-0.3699,OK
5.3,circulante: respuesta a la expectativa,-0.339,-0.3388,OK
5.3,M1: respuesta a la expectativa,-0.213,-0.213,OK
5.3,M2_privado: respuesta a la expectativa,-0.122,-0.1221,OK
5.3,M2: respuesta a la expectativa,-0.119,-0.1185,OK
8.2,2011: pesos/total Tesoro,0.4,0.399,OK
8.2,2011: pesos/total consolidado,0.45,0.4506,OK
8.2,2017: pesos/total Tesoro,0.31,0.315,OK
8.2,2017: pesos/total consolidado,0.43,0.4285,OK
8.2,2019: pesos/total Tesoro,0.22,0.223,OK
8.2,2019: pesos/total consolidado,0.27,0.2674,OK
8.2,2022: pesos/total Tesoro,0.33,0.333,OK
8.2,2022: pesos/total consolidado,0.42,0.4165,OK
8.2,2023: pesos/total Tesoro,0.28,0.282,OK
8.2,2023: pesos/total consolidado,0.33,0.3365,DIFERENCIA
6,"Estados Unidos, 2 años",-0.151,-0.1512,OK
6,"Estados Unidos, 3 años",-0.32,-0.3203,OK
6,"Estados Unidos, 4 años",-0.379,-0.379,OK
6,"Estados Unidos, 5 años",-0.392,-0.3923,OK
6,"Canadá, 2 años",-0.179,-0.1785,OK
6,"Canadá, 3 años",-0.272,-0.2724,OK
6,"Canadá, 4 años",-0.325,-0.3252,OK
6,"Canadá, 5 años",-0.372,-0.3716,OK
6,"Zona euro, 2 años",-0.022,-0.0653,DIFERENCIA
6,"Zona euro, 3 años",-0.11,-0.1276,DIFERENCIA
6,"Zona euro, 4 años",-0.265,-0.2873,DIFERENCIA
6,"Zona euro, 5 años",-0.351,-0.3677,DIFERENCIA
7,"zona euro, bienes de capital, mes 0",-0.7,-0.6977,OK
7,"zona euro, bienes de capital, mes 6",-1.11,-1.1111,OK
7,"zona euro, bienes de capital, mes 12",-1.18,-1.1821,OK
7,"zona euro, bienes de capital, mes 18",-1.18,-1.1757,OK
7,"zona euro, bienes de capital, mes 24",-0.9,-0.9006,OK
7,"zona euro, bienes de capital, mes 36",-0.19,-0.1848,OK
7,"zona euro, maquinaria, mes 0",-0.48,-0.481,OK
7,"zona euro, maquinaria, mes 12",-1.57,-1.5744,OK
7,"zona euro, maquinaria, mes 24",-0.9,-0.8998,OK
7,"Estados Unidos, mes 6",0.42,0.4167,OK
7,"Estados Unidos, mes 12",0.45,0.4513,OK
7,"Estados Unidos, mes 24",0.24,0.2359,OK
7,"Estados Unidos, mes 36",0.39,0.3858,OK
