pais,regimen,variante,variable,frecuencia,horizonte,beta,t
EE.UU.,bajo,Exceso,tasa,M,0,0.061146765806801825,1.474462315070032
EE.UU.,bajo,Exceso,tasa,M,1,0.08129620248335793,1.1115306001123093
EE.UU.,bajo,Exceso,tasa,M,2,0.09622600811913246,1.0526470731876312
EE.UU.,bajo,Exceso,tasa,M,3,0.16573322383618758,1.4966591021194875
EE.UU.,bajo,Exceso,tasa,M,4,0.21647774419920926,1.645977190613048
EE.UU.,bajo,Exceso,tasa,M,5,0.2469103927894421,1.674895927866635
EE.UU.,bajo,Exceso,tasa,M,6,0.3114980870482667,1.8963460160197985
EE.UU.,bajo,Exceso,tasa,M,7,0.3877477496575693,2.1338168809678804
EE.UU.,bajo,Exceso,tasa,M,8,0.4402684951917328,2.2253467508774625
EE.UU.,bajo,Exceso,tasa,M,9,0.44337552626822785,2.136307745333156
EE.UU.,bajo,Exceso,tasa,M,10,0.41773884302025716,1.9071040755851394
EE.UU.,bajo,Exceso,tasa,M,11,0.4277079361557783,1.8477020208333945
EE.UU.,bajo,Exceso,tasa,M,12,0.4440963009010619,1.7743124933591266
EE.UU.,bajo,Exceso,tasa,M,13,0.39446664300241613,1.4527277391992472
EE.UU.,bajo,Exceso,tasa,M,14,0.30772566739838425,1.0670236144139476
EE.UU.,bajo,Exceso,tasa,M,15,0.26015222547803074,0.8612615710106861
EE.UU.,bajo,Exceso,tasa,M,16,0.2102777310057382,0.6720064492041763
EE.UU.,bajo,Exceso,tasa,M,17,0.13924303149425274,0.428701290730575
EE.UU.,bajo,Exceso,tasa,M,18,0.09709926683196218,0.2859499683166743
EE.UU.,bajo,Exceso,tasa,M,19,0.07013820867911585,0.20121383184587763
EE.UU.,bajo,Exceso,tasa,M,20,0.005148599055482317,0.014382127951606243
EE.UU.,bajo,Exceso,tasa,M,21,-0.004279870160600108,-0.011751005683123856
EE.UU.,bajo,Exceso,tasa,M,22,-0.0015317974340437815,-0.004045084602458604
EE.UU.,bajo,Exceso,tasa,M,23,0.010226937992681338,0.025530934601073665
EE.UU.,bajo,Exceso,tasa,M,24,0.021060065600655098,0.048632924326909556
EE.UU.,bajo,Exceso,tasa,M,25,0.10783430066231844,0.23143897133779623
EE.UU.,bajo,Exceso,tasa,M,26,0.20487810898217468,0.40200716634688977
EE.UU.,bajo,Exceso,tasa,M,27,0.22583421759457342,0.4087715397759314
EE.UU.,bajo,Exceso,tasa,M,28,0.27266920714134574,0.44958672162538904
EE.UU.,bajo,Exceso,tasa,M,29,0.3364745478530827,0.5140329547403671
EE.UU.,bajo,Exceso,tasa,M,30,0.4280118700658006,0.6245004121691671
EE.UU.,bajo,Exceso,tasa,M,31,0.47956561324530506,0.668035947119384
EE.UU.,bajo,Exceso,tasa,M,32,0.5013633170126968,0.6613947852691227
EE.UU.,bajo,Exceso,tasa,M,33,0.5137173300833634,0.6694047933294083
EE.UU.,bajo,Exceso,tasa,M,34,0.5634660952580073,0.7238412480572344
EE.UU.,bajo,Exceso,tasa,M,35,0.6552862522211574,0.8174749886750168
EE.UU.,bajo,Exceso,tasa,M,36,0.6568945075015545,0.8099432710960216
EE.UU.,bajo,Exceso,tasa,M,37,0.6309289848689561,0.782147163301361
EE.UU.,bajo,Exceso,tasa,M,38,0.6946558503049446,0.8850353298288798
EE.UU.,bajo,Exceso,tasa,M,39,0.6840281454520616,0.8638590635112142
EE.UU.,bajo,Exceso,tasa,M,40,0.5168025657381956,0.6324619930558264
EE.UU.,bajo,Exceso,tasa,M,41,0.5672679746267117,0.6810763465916679
EE.UU.,bajo,Exceso,tasa,M,42,0.6222592894661996,0.7533126311545941
EE.UU.,bajo,Exceso,tasa,M,43,0.6756309075575312,0.8254681484218225
EE.UU.,bajo,Exceso,tasa,M,44,0.6469194021807636,0.7939611247119357
EE.UU.,bajo,Exceso,tasa,M,45,0.6255523043967738,0.7763374101781416
EE.UU.,bajo,Exceso,tasa,M,46,0.5720451163053197,0.7027466279445665
EE.UU.,bajo,Exceso,tasa,M,47,0.5758057188491229,0.7000017521554056
EE.UU.,bajo,Exceso,tasa,M,48,0.5319209384137054,0.649088359777729
EE.UU.,bajo,Exceso,credito,M,0,0.3951171118993851,1.6083499040569735
EE.UU.,bajo,Exceso,credito,M,1,0.5669837571389614,1.3048464457168907
EE.UU.,bajo,Exceso,credito,M,2,0.6527761972806004,1.1067283687034366
EE.UU.,bajo,Exceso,credito,M,3,0.2697938626224573,0.3726382645669968
EE.UU.,bajo,Exceso,credito,M,4,0.14316613874537654,0.16226151806817332
EE.UU.,bajo,Exceso,credito,M,5,0.00871423612777611,0.008710699785326384
EE.UU.,bajo,Exceso,credito,M,6,-0.47585290073392605,-0.4359673597474042
EE.UU.,bajo,Exceso,credito,M,7,-0.7593384451130795,-0.6244176339019591
EE.UU.,bajo,Exceso,credito,M,8,-1.1491696766960633,-0.8631057900107321
EE.UU.,bajo,Exceso,credito,M,9,-1.3479833254825961,-0.8948225508455936
EE.UU.,bajo,Exceso,credito,M,10,-1.6315053667456358,-0.9839528271055541
EE.UU.,bajo,Exceso,credito,M,11,-1.696498927936484,-0.9352214161751522
EE.UU.,bajo,Exceso,credito,M,12,-1.944470766414548,-0.981796991027862
EE.UU.,bajo,Exceso,credito,M,13,-2.1543260655909986,-1.0084770699580234
EE.UU.,bajo,Exceso,credito,M,14,-2.345238537584547,-1.0206314904191547
EE.UU.,bajo,Exceso,credito,M,15,-2.2855653341781395,-0.9289305447541856
EE.UU.,bajo,Exceso,credito,M,16,-2.261577042011258,-0.8587954792712887
EE.UU.,bajo,Exceso,credito,M,17,-2.154568408490699,-0.7664152645830401
EE.UU.,bajo,Exceso,credito,M,18,-1.8659657193152046,-0.6239597782670233
EE.UU.,bajo,Exceso,credito,M,19,-1.9265468700373,-0.6182514213711914
EE.UU.,bajo,Exceso,credito,M,20,-1.7345734489127573,-0.542159973564862
EE.UU.,bajo,Exceso,credito,M,21,-1.4387034947622417,-0.4303123733552485
EE.UU.,bajo,Exceso,credito,M,22,-0.9332559338888438,-0.2726875292737692
EE.UU.,bajo,Exceso,credito,M,23,-1.1615999257056955,-0.34466416815664547
EE.UU.,bajo,Exceso,credito,M,24,-1.5589671668410356,-0.4673901001667853
EE.UU.,bajo,Exceso,credito,M,25,-1.6055366218416014,-0.5023122660442123
EE.UU.,bajo,Exceso,credito,M,26,-1.4894539943399394,-0.4712584978181931
EE.UU.,bajo,Exceso,credito,M,27,-1.3966670789831617,-0.4340316368020851
EE.UU.,bajo,Exceso,credito,M,28,-1.5098508217569158,-0.47502743934337033
EE.UU.,bajo,Exceso,credito,M,29,-1.610938350770187,-0.5249097740105011
EE.UU.,bajo,Exceso,credito,M,30,-1.8147958232749926,-0.5594926534819316
